source	target	relation	source_label	target_label	link_to_resource	resource
81e5569c-7bd7-5857-b917-1ba1d3ef9721	511a86f7-0acb-5420-a0a8-b743cd9e340b	GO BP	negative regulation of proteolysis (GO:0045861)	CST7	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	22ada4b8-5f6e-5119-bf2f-d648ef712ed0	GO BP	negative regulation of proteolysis (GO:0045861)	CSTB	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	64c71d36-8115-563d-85d3-4b562bd08e70	GO BP	negative regulation of proteolysis (GO:0045861)	TRIM21	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	357d2be5-ff51-5e66-8046-5cb49028b494	GO BP	negative regulation of proteolysis (GO:0045861)	EFNA1	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	ea48238e-69f6-5692-a08d-f091f574bdd4	GO BP	negative regulation of proteolysis (GO:0045861)	TIMP1	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	5e50c2fe-5e7c-598f-b12a-acdb9e78fe8f	GO BP	negative regulation of proteolysis (GO:0045861)	PLAT	http://geneontology.org/	Gene Ontology
81e5569c-7bd7-5857-b917-1ba1d3ef9721	5408b46b-b609-5383-ac6a-e53ccafc01b9	GO BP	negative regulation of proteolysis (GO:0045861)	TIMP4	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	3de205e1-0721-5e5a-8fbf-04709991de32	GO BP	neutrophil degranulation (GO:0043312)	CTSH	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	7bdf5914-2d0b-5620-a4cf-3b4f859d3fd3	GO BP	neutrophil degranulation (GO:0043312)	LCN2	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	716d876a-f512-5748-bf63-b9399329256f	GO BP	neutrophil degranulation (GO:0043312)	CHI3L1	http://geneontology.org/	Gene Ontology
