source	target	relation	source_label	target_label	link_to_resource	resource
868e387c-2eb3-5224-94f2-19acf425646e	2643fb0d-2119-5eb3-9803-19831cdad12f	GO BP	negative regulation of apoptotic process (GO:0043066)	HSPB1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	6fea59ff-7f77-5aea-99b7-4dc0a1a3f6d4	GO BP	negative regulation of apoptotic process (GO:0043066)	CDKN2D	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	4d886b93-e692-5f11-ba6f-a6e11b58fc7c	GO BP	negative regulation of apoptotic process (GO:0043066)	CD28	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	2efcc49f-71c3-5fd2-b4e6-978f931b1447	GO BP	negative regulation of apoptotic process (GO:0043066)	ANXA4	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	af1c83c9-8b85-585a-9e3e-38800e3e741f	GO BP	negative regulation of apoptotic process (GO:0043066)	BID	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	3ed2df13-98fb-5538-acaf-a10d7bf9644f	GO BP	negative regulation of apoptotic process (GO:0043066)	DAB2	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	98180476-fc79-57ae-8744-6dcd920922ca	GO BP	negative regulation of apoptotic process (GO:0043066)	BIRC2	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	bd711439-d0fa-56d8-9d25-bf29971443f0	GO BP	negative regulation of apoptotic process (GO:0043066)	ANXA5	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	8c0f12fd-e818-58ae-ab62-9a2da24ad518	GO BP	negative regulation of apoptotic process (GO:0043066)	ADAM8	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	d60275dc-57aa-58ba-a3d7-7c93f12a57b7	GO BP	negative regulation of apoptotic process (GO:0043066)	ITGA5	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	16ce1aca-5e0d-59f5-ad8a-2d780542cfc6	GO BP	negative regulation of apoptotic process (GO:0043066)	TPT1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	fc66a0d2-0e58-59a8-b6df-9d63adb8c978	GO BP	negative regulation of apoptotic process (GO:0043066)	IL2RB	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	6209c085-3130-5482-98dd-5626fac202ea	GO BP	negative regulation of apoptotic process (GO:0043066)	TNFAIP8	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	4c29b124-ce09-58d7-9218-e7f3a800393e	GO BP	negative regulation of apoptotic process (GO:0043066)	ITGB1	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	c9be88d6-ca6c-52c6-b4bf-eeebc4943846	GO BP	neutrophil degranulation (GO:0043312)	SNAP23	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	a63667e5-ca30-5be7-b5ee-89d0e5b97568	GO BP	neutrophil degranulation (GO:0043312)	ITGB2	http://geneontology.org/	Gene Ontology
