source	target	relation	source_label	target_label	link_to_resource	resource
868e387c-2eb3-5224-94f2-19acf425646e	6016f0f6-346e-554e-b275-7d810bd64f8e	GO BP	negative regulation of apoptotic process (GO:0043066)	CCL2	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	5a9e7c4d-a10e-5634-b7cb-331b9eee9145	GO BP	negative regulation of apoptotic process (GO:0043066)	TREM2	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	ca107dde-81ac-5b23-8652-bc35534f80ef	GO BP	negative regulation of apoptotic process (GO:0043066)	CD27	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	4c0f4b02-58e5-5379-b4ea-cd0ce15d8f23	GO BP	negative regulation of apoptotic process (GO:0043066)	CLEC5A	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	0714b30e-47c0-5d08-80e4-13eafe85b339	GO BP	negative regulation of apoptotic process (GO:0043066)	MERTK	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	negative regulation of apoptotic process (GO:0043066)	IL6	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	12b87efe-9cd6-5e13-b762-638aa0cd405d	GO BP	negative regulation of apoptotic process (GO:0043066)	MDK	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	9c0f4e6f-d5cb-5dcd-a3b1-a12660c4da2b	GO BP	negative regulation of apoptotic process (GO:0043066)	AZU1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	f099275b-540e-5e55-9598-a87d89a747d2	GO BP	negative regulation of apoptotic process (GO:0043066)	HCLS1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	f1654664-25b2-52e1-875c-ed6a08621b7d	GO BP	negative regulation of apoptotic process (GO:0043066)	HGF	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	88b95917-fe49-5bd3-aebc-297cae0b6269	GO BP	negative regulation of apoptotic process (GO:0043066)	BAG3	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	5e0c04b3-f6d2-5760-9112-2384fa596c09	GO BP	negative regulation of apoptotic process (GO:0043066)	TXNDC5	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	f27bd3b6-8a69-540e-a555-81a4400631fe	GO BP	negative regulation of apoptotic process (GO:0043066)	VEGFA	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	61452c1e-c68b-5043-a974-2365a8c443d4	GO BP	negative regulation of apoptotic process (GO:0043066)	PRDX5	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	99be7247-c9e0-5709-bd43-d2bc1c1d86ff	GO BP	negative regulation of apoptotic process (GO:0043066)	NPM1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	23247e6d-02cf-598f-8203-bb0a2cfe9677	GO BP	negative regulation of apoptotic process (GO:0043066)	KRT18	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	f175b5df-e753-57a9-8c83-43d9ed35808c	GO BP	neutrophil degranulation (GO:0043312)	CLEC4D	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	e6434a6b-2125-5b6f-9664-da93124b411f	GO BP	neutrophil degranulation (GO:0043312)	CD63	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	7bdf5914-2d0b-5620-a4cf-3b4f859d3fd3	GO BP	neutrophil degranulation (GO:0043312)	LCN2	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	a87b5f02-f8ca-51dd-9a3a-ddf945bd2194	GO BP	neutrophil degranulation (GO:0043312)	S100A12	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	5e0c04b3-f6d2-5760-9112-2384fa596c09	GO BP	neutrophil degranulation (GO:0043312)	TXNDC5	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	f425c386-75ee-5dc0-aa29-4a3591cb1fe4	GO BP	neutrophil degranulation (GO:0043312)	OLR1	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	fc163631-2d26-58ab-9141-136c329dbd76	GO BP	neutrophil degranulation (GO:0043312)	S100A11	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	b5f5c9f4-96e3-53cf-aab8-e4d5a77adada	GO BP	neutrophil degranulation (GO:0043312)	CD59	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	a3cdd0fe-8220-5416-82c4-ca66b11cd0ad	GO BP	neutrophil degranulation (GO:0043312)	LGALS3	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	9c0f4e6f-d5cb-5dcd-a3b1-a12660c4da2b	GO BP	neutrophil degranulation (GO:0043312)	AZU1	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	322a0c46-fc6d-51f9-be24-19044fafbec9	GO BP	neutrophil degranulation (GO:0043312)	RNASE3	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	055e821e-b77f-5f65-a6fd-597b9df43286	GO BP	neutrophil degranulation (GO:0043312)	PADI2	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	4c0f4b02-58e5-5379-b4ea-cd0ce15d8f23	GO BP	neutrophil degranulation (GO:0043312)	CLEC5A	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	6bc3be29-b26d-592e-a9f7-da92d52784b5	GO BP	neutrophil degranulation (GO:0043312)	S100P	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	ebdb5ecd-cd38-5fc5-9190-80798e4b2826	GO BP	neutrophil degranulation (GO:0043312)	PTX3	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	a9ff2aa6-c51e-517c-88ef-87f8ae8519c0	GO BP	neutrophil degranulation (GO:0043312)	FCAR	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	76c0c5d4-243f-5448-bbdd-f404ad8c5ef2	GO BP	neutrophil degranulation (GO:0043312)	PRTN3	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	7564e279-267b-5604-81be-1f2700782d1c	GO BP	regulation of apoptotic process (GO:0042981)	TNFRSF8	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	9c0f4e6f-d5cb-5dcd-a3b1-a12660c4da2b	GO BP	regulation of apoptotic process (GO:0042981)	AZU1	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	4c0f4b02-58e5-5379-b4ea-cd0ce15d8f23	GO BP	regulation of apoptotic process (GO:0042981)	CLEC5A	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	23247e6d-02cf-598f-8203-bb0a2cfe9677	GO BP	regulation of apoptotic process (GO:0042981)	KRT18	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	c4772e91-694b-5fb4-9b10-33ba56dcf0cc	GO BP	regulation of apoptotic process (GO:0042981)	LGALS1	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	88b95917-fe49-5bd3-aebc-297cae0b6269	GO BP	regulation of apoptotic process (GO:0042981)	BAG3	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	6e2660fd-77ff-5731-82cb-cd9d3d099c34	GO BP	regulation of apoptotic process (GO:0042981)	JUN	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	5e0c04b3-f6d2-5760-9112-2384fa596c09	GO BP	regulation of apoptotic process (GO:0042981)	TXNDC5	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	037dbbf3-6b35-51c1-8c8f-cd4993a66c2d	GO BP	regulation of apoptotic process (GO:0042981)	TNFRSF12A	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	6dceb524-e8ff-5e21-88b6-571985b3234a	GO BP	regulation of apoptotic process (GO:0042981)	TNFRSF10B	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	97291af2-f3ac-5c33-af04-4c8f459bc783	GO BP	regulation of apoptotic process (GO:0042981)	TNFRSF10A	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	05ed2878-c4db-584c-92d1-a78e77c66cd5	GO BP	regulation of apoptotic process (GO:0042981)	TNFRSF10C	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	regulation of apoptotic process (GO:0042981)	IL6	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	61452c1e-c68b-5043-a974-2365a8c443d4	GO BP	regulation of apoptotic process (GO:0042981)	PRDX5	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	21d6c926-ac40-57e1-94ae-7ef5e50b2efa	GO BP	regulation of apoptotic process (GO:0042981)	CXCL10	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	ca107dde-81ac-5b23-8652-bc35534f80ef	GO BP	regulation of apoptotic process (GO:0042981)	CD27	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	99be7247-c9e0-5709-bd43-d2bc1c1d86ff	GO BP	regulation of apoptotic process (GO:0042981)	NPM1	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	f1654664-25b2-52e1-875c-ed6a08621b7d	GO BP	regulation of apoptotic process (GO:0042981)	HGF	http://geneontology.org/	Gene Ontology
b49b0f57-e3e3-54ae-861f-f5ab645a0642	f27bd3b6-8a69-540e-a555-81a4400631fe	GO BP	regulation of apoptotic process (GO:0042981)	VEGFA	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	99be7247-c9e0-5709-bd43-d2bc1c1d86ff	GO BP	positive regulation of cell population proliferation (GO:0008284)	NPM1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	c805fe87-3e26-5f90-8247-9eb5690122b3	GO BP	positive regulation of cell population proliferation (GO:0008284)	IL5RA	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	a52151c8-1aaf-5123-be06-80b29383d0a0	GO BP	positive regulation of cell population proliferation (GO:0008284)	CSF1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	f2652a53-0542-5f1b-a06b-360c0ae4863c	GO BP	positive regulation of cell population proliferation (GO:0008284)	OSM	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	f27bd3b6-8a69-540e-a555-81a4400631fe	GO BP	positive regulation of cell population proliferation (GO:0008284)	VEGFA	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	d7fec3d2-1160-55ea-a7c3-764a7c301ccc	GO BP	positive regulation of cell population proliferation (GO:0008284)	FLT1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	81883fba-cb3e-5cc5-9035-dd8c9d701383	GO BP	positive regulation of cell population proliferation (GO:0008284)	HMOX1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	6ff113f8-4705-5431-b2eb-b1b1849f035f	GO BP	positive regulation of cell population proliferation (GO:0008284)	TNFRSF11A	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	12b87efe-9cd6-5e13-b762-638aa0cd405d	GO BP	positive regulation of cell population proliferation (GO:0008284)	MDK	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	ea48238e-69f6-5692-a08d-f091f574bdd4	GO BP	positive regulation of cell population proliferation (GO:0008284)	TIMP1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	6a8be223-1b9b-593c-81c6-ff183932c80b	GO BP	positive regulation of cell population proliferation (GO:0008284)	TGFA	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	50e1324b-cdcd-5e76-ab9a-b1442992b1c4	GO BP	positive regulation of cell population proliferation (GO:0008284)	NAMPT	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	8168ef25-40ff-5a66-9e34-a455dcfbb72a	GO BP	positive regulation of cell population proliferation (GO:0008284)	CLEC11A	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	f099275b-540e-5e55-9598-a87d89a747d2	GO BP	positive regulation of cell population proliferation (GO:0008284)	HCLS1	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	76c0c5d4-243f-5448-bbdd-f404ad8c5ef2	GO BP	positive regulation of cell population proliferation (GO:0008284)	PRTN3	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	positive regulation of cell population proliferation (GO:0008284)	IL6	http://geneontology.org/	Gene Ontology
46480572-3bfc-5ba5-b7b5-124b3fb1efaf	67587348-335a-567e-90ed-c034776e78af	GO BP	positive regulation of cell population proliferation (GO:0008284)	IL15	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	00e141b9-56f0-5ca7-b0f1-11784c6eb8bb	GO BP	neutrophil migration (GO:1990266)	CCL23	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	6016f0f6-346e-554e-b275-7d810bd64f8e	GO BP	neutrophil migration (GO:1990266)	CCL2	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	c3ef122b-f69f-5433-b729-309b8caa78af	GO BP	neutrophil migration (GO:1990266)	CCL20	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	54c41fd6-7bae-55ca-8927-d1ebc4020158	GO BP	neutrophil migration (GO:1990266)	CCL7	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	a3cdd0fe-8220-5416-82c4-ca66b11cd0ad	GO BP	neutrophil migration (GO:1990266)	LGALS3	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	f6e6de24-5d25-5c15-add3-35681997f1d1	GO BP	neutrophil migration (GO:1990266)	CXCL8	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	a87b5f02-f8ca-51dd-9a3a-ddf945bd2194	GO BP	neutrophil migration (GO:1990266)	S100A12	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	76c0c5d4-243f-5448-bbdd-f404ad8c5ef2	GO BP	neutrophil migration (GO:1990266)	PRTN3	http://geneontology.org/	Gene Ontology
a2266bbd-7f95-5641-839b-fbcf225bbc57	21d6c926-ac40-57e1-94ae-7ef5e50b2efa	GO BP	neutrophil migration (GO:1990266)	CXCL10	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	99be7247-c9e0-5709-bd43-d2bc1c1d86ff	GO BP	negative regulation of cellular process (GO:0048523)	NPM1	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	b1b5c2d1-fb3e-5cfb-b76c-ac5d43b87a86	GO BP	negative regulation of cellular process (GO:0048523)	SUSD2	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	8507660d-3c0a-54c6-8fb4-5b1a5ad6899a	GO BP	negative regulation of cellular process (GO:0048523)	ENO1	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	00e141b9-56f0-5ca7-b0f1-11784c6eb8bb	GO BP	negative regulation of cellular process (GO:0048523)	CCL23	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	69427862-69c9-5087-8427-9c3462416322	GO BP	negative regulation of cellular process (GO:0048523)	ING1	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	76c0c5d4-243f-5448-bbdd-f404ad8c5ef2	GO BP	negative regulation of cellular process (GO:0048523)	PRTN3	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	2b54303e-71a8-5c2e-b515-3f32b1dea34a	GO BP	negative regulation of cellular process (GO:0048523)	ZBTB17	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	fc163631-2d26-58ab-9141-136c329dbd76	GO BP	negative regulation of cellular process (GO:0048523)	S100A11	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	47ea48a3-499e-5e64-915d-0072b6fdb24a	GO BP	negative regulation of cellular process (GO:0048523)	FBP1	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	negative regulation of cellular process (GO:0048523)	IL6	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	c5ae68a9-b01b-58fb-ba10-f8cfb7c14640	GO BP	negative regulation of cellular process (GO:0048523)	ACVRL1	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	7564e279-267b-5604-81be-1f2700782d1c	GO BP	negative regulation of cellular process (GO:0048523)	TNFRSF8	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	f6e6de24-5d25-5c15-add3-35681997f1d1	GO BP	negative regulation of cellular process (GO:0048523)	CXCL8	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	5a9e7c4d-a10e-5634-b7cb-331b9eee9145	GO BP	negative regulation of cellular process (GO:0048523)	TREM2	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	f2652a53-0542-5f1b-a06b-360c0ae4863c	GO BP	negative regulation of cellular process (GO:0048523)	OSM	http://geneontology.org/	Gene Ontology
c4a60be8-0729-5a6b-8457-42137be17780	12b87efe-9cd6-5e13-b762-638aa0cd405d	GO BP	negative regulation of cellular process (GO:0048523)	MDK	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	67587348-335a-567e-90ed-c034776e78af	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	IL15	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	f27bd3b6-8a69-540e-a555-81a4400631fe	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	VEGFA	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	5a9e7c4d-a10e-5634-b7cb-331b9eee9145	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	TREM2	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	f2652a53-0542-5f1b-a06b-360c0ae4863c	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	OSM	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	IL6	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	f1654664-25b2-52e1-875c-ed6a08621b7d	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	HGF	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	357d2be5-ff51-5e66-8046-5cb49028b494	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	EFNA1	http://geneontology.org/	Gene Ontology
1a988544-c7a9-5486-96a1-1927cc31160f	f099275b-540e-5e55-9598-a87d89a747d2	GO BP	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	HCLS1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	8992de2c-7c87-5228-a1c0-9769d447c1fc	GO BP	cellular response to cytokine stimulus (GO:0071345)	IL18R1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	f6e6de24-5d25-5c15-add3-35681997f1d1	GO BP	cellular response to cytokine stimulus (GO:0071345)	CXCL8	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	54c41fd6-7bae-55ca-8927-d1ebc4020158	GO BP	cellular response to cytokine stimulus (GO:0071345)	CCL7	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	6016f0f6-346e-554e-b275-7d810bd64f8e	GO BP	cellular response to cytokine stimulus (GO:0071345)	CCL2	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	f2652a53-0542-5f1b-a06b-360c0ae4863c	GO BP	cellular response to cytokine stimulus (GO:0071345)	OSM	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	81883fba-cb3e-5cc5-9035-dd8c9d701383	GO BP	cellular response to cytokine stimulus (GO:0071345)	HMOX1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	00e141b9-56f0-5ca7-b0f1-11784c6eb8bb	GO BP	cellular response to cytokine stimulus (GO:0071345)	CCL23	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	f099275b-540e-5e55-9598-a87d89a747d2	GO BP	cellular response to cytokine stimulus (GO:0071345)	HCLS1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	21d6c926-ac40-57e1-94ae-7ef5e50b2efa	GO BP	cellular response to cytokine stimulus (GO:0071345)	CXCL10	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	7bdf5914-2d0b-5620-a4cf-3b4f859d3fd3	GO BP	cellular response to cytokine stimulus (GO:0071345)	LCN2	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	a52151c8-1aaf-5123-be06-80b29383d0a0	GO BP	cellular response to cytokine stimulus (GO:0071345)	CSF1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	bb2c8c3a-1e4c-5cf0-8d55-146db01b5844	GO BP	cellular response to cytokine stimulus (GO:0071345)	IL6	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	f27bd3b6-8a69-540e-a555-81a4400631fe	GO BP	cellular response to cytokine stimulus (GO:0071345)	VEGFA	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	7ce6b193-498a-5a06-9a67-cccb0fa81dd0	GO BP	cellular response to cytokine stimulus (GO:0071345)	LGALS9	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	e6627ce6-31d0-5d21-970c-eb4ce19e63dc	GO BP	cellular response to cytokine stimulus (GO:0071345)	F3	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	ea48238e-69f6-5692-a08d-f091f574bdd4	GO BP	cellular response to cytokine stimulus (GO:0071345)	TIMP1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	e652db35-605b-5495-8d53-af6a909d6130	GO BP	cellular response to cytokine stimulus (GO:0071345)	SHMT1	http://geneontology.org/	Gene Ontology
6a290ffa-1833-5b87-80c7-f65b2aee07ab	c3ef122b-f69f-5433-b729-309b8caa78af	GO BP	cellular response to cytokine stimulus (GO:0071345)	CCL20	http://geneontology.org/	Gene Ontology
