source	target	relation	source_label	target_label	link_to_resource	resource
868e387c-2eb3-5224-94f2-19acf425646e	4d886b93-e692-5f11-ba6f-a6e11b58fc7c	GO BP	negative regulation of apoptotic process (GO:0043066)	CD28	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	1e972d3a-c875-58b3-9b47-6576243b3e84	GO BP	negative regulation of apoptotic process (GO:0043066)	KDR	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	ba6bba02-04bd-57cf-b2a0-76717517a966	GO BP	negative regulation of apoptotic process (GO:0043066)	NOTCH1	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	3cb5c017-51b2-50e3-b385-8a2ecfbdc077	GO BP	negative regulation of apoptotic process (GO:0043066)	SEMA4D	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	0e37f2ca-ad6c-5fb9-8546-32cc1c3121b2	GO BP	negative regulation of apoptotic process (GO:0043066)	ASAH2	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	dff8aa97-c80c-5490-97a9-80e29ab3ebef	GO BP	negative regulation of apoptotic process (GO:0043066)	TYRO3	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	14196ed5-3bba-5f09-b963-96fe7163879b	GO BP	negative regulation of apoptotic process (GO:0043066)	NTF4	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	d60275dc-57aa-58ba-a3d7-7c93f12a57b7	GO BP	negative regulation of apoptotic process (GO:0043066)	ITGA5	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	fc66a0d2-0e58-59a8-b6df-9d63adb8c978	GO BP	negative regulation of apoptotic process (GO:0043066)	IL2RB	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	77ed86e5-def5-5e4c-93ac-9af84ab71d4d	GO BP	negative regulation of apoptotic process (GO:0043066)	IL4	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	732b7fb3-9466-55aa-9008-fb80973c531c	GO BP	negative regulation of apoptotic process (GO:0043066)	PROC	http://geneontology.org/	Gene Ontology
868e387c-2eb3-5224-94f2-19acf425646e	4c29b124-ce09-58d7-9218-e7f3a800393e	GO BP	negative regulation of apoptotic process (GO:0043066)	ITGB1	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	017c037b-ab16-5588-8ff1-9a98a71ab88b	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	FLT3	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	13abe498-6858-5de4-861e-a73ab29a2524	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	PDGFRB	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	77ed86e5-def5-5e4c-93ac-9af84ab71d4d	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	IL4	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	1e972d3a-c875-58b3-9b47-6576243b3e84	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	KDR	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	be78942f-4699-529a-b3e7-c67e5a4309d7	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	KIT	http://geneontology.org/	Gene Ontology
3987252a-6423-5e9a-8db3-c066fe826103	11551f5d-1f4e-5379-8acb-d5410175fcde	GO BP	peptidyl-tyrosine phosphorylation (GO:0018108)	ERBB2	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	dff8aa97-c80c-5490-97a9-80e29ab3ebef	GO BP	positive regulation of transferase activity (GO:0051347)	TYRO3	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	13abe498-6858-5de4-861e-a73ab29a2524	GO BP	positive regulation of transferase activity (GO:0051347)	PDGFRB	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	51822667-c6f3-55f0-bb98-6f76b9e831e7	GO BP	positive regulation of transferase activity (GO:0051347)	TIE1	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	be78942f-4699-529a-b3e7-c67e5a4309d7	GO BP	positive regulation of transferase activity (GO:0051347)	KIT	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	11551f5d-1f4e-5379-8acb-d5410175fcde	GO BP	positive regulation of transferase activity (GO:0051347)	ERBB2	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	017c037b-ab16-5588-8ff1-9a98a71ab88b	GO BP	positive regulation of transferase activity (GO:0051347)	FLT3	http://geneontology.org/	Gene Ontology
fdd6db21-e7c3-57bc-8e63-22e23aa83f6f	1e972d3a-c875-58b3-9b47-6576243b3e84	GO BP	positive regulation of transferase activity (GO:0051347)	KDR	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	fc5429f9-cea7-51e4-aa5c-efc4e07fd596	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	GFRA2	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	dff8aa97-c80c-5490-97a9-80e29ab3ebef	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	TYRO3	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	73575eec-d392-53db-9c44-deb9dbd48e78	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	CD8A	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	1e972d3a-c875-58b3-9b47-6576243b3e84	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	KDR	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	13abe498-6858-5de4-861e-a73ab29a2524	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	PDGFRB	http://geneontology.org/	Gene Ontology
a5c7696a-fd75-5b00-ad7b-daaaa17eb3c3	11551f5d-1f4e-5379-8acb-d5410175fcde	GO BP	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	ERBB2	http://geneontology.org/	Gene Ontology
