source	target	relation	source_label	target_label	link_to_resource	resource
7e502e44-f3ea-5431-b213-e07b87e9faba	716d876a-f512-5748-bf63-b9399329256f	GO BP	neutrophil degranulation (GO:0043312)	CHI3L1	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	e7d9f887-effd-5447-bf79-aca717fb75fe	GO BP	neutrophil degranulation (GO:0043312)	HSPA1A	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	22ada4b8-5f6e-5119-bf2f-d648ef712ed0	GO BP	neutrophil degranulation (GO:0043312)	CSTB	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	fc163631-2d26-58ab-9141-136c329dbd76	GO BP	neutrophil degranulation (GO:0043312)	S100A11	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	745164eb-2295-5487-8f34-ae4e28a0beea	GO BP	neutrophil degranulation (GO:0043312)	FABP5	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	6a70954b-1a3a-59e3-8e21-c6a218b43c0d	GO BP	neutrophil degranulation (GO:0043312)	CKAP4	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	83e4cf29-cef8-54e0-ae0e-35fdd990d2a6	GO BP	neutrophil degranulation (GO:0043312)	SRP14	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	6cdbaf4e-9dcf-5df9-892c-5f07ef2b4d01	GO BP	neutrophil degranulation (GO:0043312)	MMP8	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	4c0f4b02-58e5-5379-b4ea-cd0ce15d8f23	GO BP	neutrophil degranulation (GO:0043312)	CLEC5A	http://geneontology.org/	Gene Ontology
7e502e44-f3ea-5431-b213-e07b87e9faba	3289929e-9df0-50df-ab2e-5510c1933db1	GO BP	neutrophil degranulation (GO:0043312)	MNDA	http://geneontology.org/	Gene Ontology
cc53fa32-4827-516a-8f14-5e1511f516b5	c3ef122b-f69f-5433-b729-309b8caa78af	GO BP	response to tumor necrosis factor (GO:0034612)	CCL20	http://geneontology.org/	Gene Ontology
cc53fa32-4827-516a-8f14-5e1511f516b5	417ce43b-2b03-59fe-bf79-88b846587422	GO BP	response to tumor necrosis factor (GO:0034612)	GBP2	http://geneontology.org/	Gene Ontology
cc53fa32-4827-516a-8f14-5e1511f516b5	716d876a-f512-5748-bf63-b9399329256f	GO BP	response to tumor necrosis factor (GO:0034612)	CHI3L1	http://geneontology.org/	Gene Ontology
cc53fa32-4827-516a-8f14-5e1511f516b5	54c41fd6-7bae-55ca-8927-d1ebc4020158	GO BP	response to tumor necrosis factor (GO:0034612)	CCL7	http://geneontology.org/	Gene Ontology
cc53fa32-4827-516a-8f14-5e1511f516b5	f6e6de24-5d25-5c15-add3-35681997f1d1	GO BP	response to tumor necrosis factor (GO:0034612)	CXCL8	http://geneontology.org/	Gene Ontology
c14d1e82-bf8a-5c85-b806-4b9386ff6c8c	32cb3260-c7c0-55d2-9ebe-aa9e567f2d55	GO BP	negative regulation of cytokine production (GO:0001818)	EZR	http://geneontology.org/	Gene Ontology
