source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AARSD1	AKT1S1	AARSD1	AKT1S1	0.5677	0.696	0.6779	0.403	0
AARSD1	ATG4A	AARSD1	ATG4A	0.7345	0.7855	0.7725	0.6923	0
AARSD1	BLVRB	AARSD1	BLVRB	0.7329	0.8174	0.8257	0.7246	0
AARSD1	CA2	AARSD1	CA2	0.7276	0.8241	0.8326	1.0539	0
AARSD1	EIF4EBP1	AARSD1	EIF4EBP1	0.7243	0.8141	0.8083	0.721	0
AARSD1	GFER	AARSD1	GFER	0.3904	-0.4448	-0.4967	-0.3027	0
AARSD1	PIK3AP1	AARSD1	PIK3AP1	0.6533	0.7697	0.7874	0.569	0
AARSD1	PKLR	AARSD1	PKLR	0.7512	0.8237	0.8344	0.8593	0
AARSD1	TGM2	AARSD1	TGM2	0.7081	0.766	0.8055	0.7617	0
AARSD1	UBAC1	AARSD1	UBAC1	0.7415	0.8094	0.8214	0.6245	0
ABHD14B	EIF4EBP1	ABHD14B	EIF4EBP1	0.6903	0.8035	0.7817	1.19	0
ABHD14B	GLOD4	ABHD14B	GLOD4	0.6621	0.7744	0.7133	0.7671	0
ABHD14B	NSFL1C	ABHD14B	NSFL1C	0.6498	0.8091	0.7549	1.2384	0
ABL1	ATP5IF1	ABL1	ATP5IF1	0.6843	0.6922	0.7704	1.1303	0
ABL1	CD40	ABL1	CD40	0.8179	0.7308	0.8004	0.9221	0
ABL1	CNPY4	ABL1	CNPY4	0.4826	0.5463	0.601	0.4703	0
ABL1	DNMBP	ABL1	DNMBP	0.8503	0.8299	0.8867	0.9355	0
ABL1	EIF4G1	ABL1	EIF4G1	0.5609	0.6322	0.6811	0.8141	0
ABL1	ENTPD6	ABL1	ENTPD6	0.373	-0.5058	-0.5293	-0.3087	0
ABL1	HCLS1	ABL1	HCLS1	0.5344	0.6113	0.6462	0.6342	0
ABL1	IL3RA	ABL1	IL3RA	0.5567	-0.6369	-0.6619	-0.5356	0
ABL1	MASP1	ABL1	MASP1	0.3924	-0.4648	-0.4731	-0.466	0
ABL1	NDUFS6	ABL1	NDUFS6	0.4589	0.5601	0.6551	0.8838	0
ABL1	PPP1R2	ABL1	PPP1R2	0.4739	0.4942	0.5814	0.3148	0
ABL1	PVALB	ABL1	PVALB	0.4504	0.5401	0.6319	1.0596	0
ABL1	SCAMP3	ABL1	SCAMP3	0.7768	0.7409	0.811	1.1073	0
ABL1	SERPINB6	ABL1	SERPINB6	0.4026	0.5393	0.5611	0.3094	0
ABL1	SSB	ABL1	SSB	0.4006	-0.3776	-0.529	-0.4273	0
ABL1	TP53INP1	ABL1	TP53INP1	0.5568	-0.6356	-0.6816	-0.5401	0
ABL1	TXNDC5	ABL1	TXNDC5	0.4088	0.5525	0.5789	0.5883	0
