source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AARSD1	AKT1S1	AARSD1	AKT1S1	0.5677	0.6960	0.6779	0.4030	0.0000
AARSD1	ATG4A	AARSD1	ATG4A	0.7345	0.7855	0.7725	0.6923	0.0000
AARSD1	BLVRB	AARSD1	BLVRB	0.7329	0.8174	0.8257	0.7246	0.0000
AARSD1	CA2	AARSD1	CA2	0.7276	0.8241	0.8326	1.0539	0.0000
AARSD1	EIF4EBP1	AARSD1	EIF4EBP1	0.7243	0.8141	0.8083	0.7210	0.0000
AARSD1	GFER	AARSD1	GFER	0.3904	-0.4448	-0.4967	-0.3027	0.0000
AARSD1	PIK3AP1	AARSD1	PIK3AP1	0.6533	0.7697	0.7874	0.5690	0.0000
AARSD1	PKLR	AARSD1	PKLR	0.7512	0.8237	0.8344	0.8593	0.0000
AARSD1	TGM2	AARSD1	TGM2	0.7081	0.7660	0.8055	0.7617	0.0000
AARSD1	UBAC1	AARSD1	UBAC1	0.7415	0.8094	0.8214	0.6245	0.0000
ABHD14B	EIF4EBP1	ABHD14B	EIF4EBP1	0.6903	0.8035	0.7817	1.1900	0.0000
ABHD14B	GLOD4	ABHD14B	GLOD4	0.6621	0.7744	0.7133	0.7671	0.0000
ABHD14B	NSFL1C	ABHD14B	NSFL1C	0.6498	0.8091	0.7549	1.2384	0.0000
ABL1	ATP5IF1	ABL1	ATP5IF1	0.6843	0.6922	0.7704	1.1303	0.0000
ABL1	CD40	ABL1	CD40	0.8179	0.7308	0.8004	0.9221	0.0000
ABL1	CNPY4	ABL1	CNPY4	0.4826	0.5463	0.6010	0.4703	0.0000
ABL1	DNMBP	ABL1	DNMBP	0.8503	0.8299	0.8867	0.9355	0.0000
ABL1	EIF4G1	ABL1	EIF4G1	0.5609	0.6322	0.6811	0.8141	0.0000
ABL1	ENTPD6	ABL1	ENTPD6	0.3730	-0.5058	-0.5293	-0.3087	0.0000
ABL1	HCLS1	ABL1	HCLS1	0.5344	0.6113	0.6462	0.6342	0.0000
ABL1	IL3RA	ABL1	IL3RA	0.5567	-0.6369	-0.6619	-0.5356	0.0000
ABL1	MASP1	ABL1	MASP1	0.3924	-0.4648	-0.4731	-0.4660	0.0000
ABL1	NDUFS6	ABL1	NDUFS6	0.4589	0.5601	0.6551	0.8838	0.0000
ABL1	PPP1R2	ABL1	PPP1R2	0.4739	0.4942	0.5814	0.3148	0.0000
ABL1	PVALB	ABL1	PVALB	0.4504	0.5401	0.6319	1.0596	0.0000
ABL1	SCAMP3	ABL1	SCAMP3	0.7768	0.7409	0.8110	1.1073	0.0000
ABL1	SERPINB6	ABL1	SERPINB6	0.4026	0.5393	0.5611	0.3094	0.0000
ABL1	SSB	ABL1	SSB	0.4006	-0.3776	-0.5290	-0.4273	0.0000
ABL1	TP53INP1	ABL1	TP53INP1	0.5568	-0.6356	-0.6816	-0.5401	0.0000
ABL1	TXNDC5	ABL1	TXNDC5	0.4088	0.5525	0.5789	0.5883	0.0000
ACAA1	ACE2	ACAA1	ACE2	0.3202	0.4613	0.4265	0.3214	0.0000
ACAA1	AGXT	ACAA1	AGXT	0.6503	0.8124	0.7715	0.8457	0.0000
ACAA1	FBP1	ACAA1	FBP1	0.4139	0.5581	0.5286	0.6108	0.0000
ACAA1	GRPEL1	ACAA1	GRPEL1	0.4332	0.6236	0.5973	0.5623	0.0000
ACAA1	IL17C	ACAA1	IL17C	0.2588	-0.2972	-0.2540	-0.2891	0.0000
ACAA1	KYNU	ACAA1	KYNU	0.4680	0.6202	0.5807	0.4773	0.0000
ACAA1	PTPRS	ACAA1	PTPRS	0.2488	-0.2163	-0.2310	-0.0557	0.0001
ACAA1	SCLY	ACAA1	SCLY	0.5699	0.6921	0.6728	0.5946	0.0000
ACAA1	SCP2	ACAA1	SCP2	0.3744	0.5371	0.4467	0.3198	0.0000
ACAA1	SHMT1	ACAA1	SHMT1	0.4904	0.6126	0.5558	0.6506	0.0000
ACAA1	SOD2	ACAA1	SOD2	0.4277	0.5546	0.5580	0.3245	0.0000
ACAA1	TNFSF13	ACAA1	TNFSF13	0.2763	-0.2472	-0.3263	-0.0934	0.0000
ACAN	COMT	ACAN	COMT	0.2343	-0.0341	-0.0290	-0.0578	0.5527
ACAN	GP2	ACAN	GP2	0.2064	-0.2753	-0.3463	-0.7761	0.0000
ACAN	IL6R	ACAN	IL6R	0.1836	0.0335	0.0190	0.0317	0.5597
ACAN	LAMA4	ACAN	LAMA4	0.2220	0.0020	-0.0728	0.0018	0.9723
ACAN	TREML2	ACAN	TREML2	0.2034	0.0250	-0.0450	0.0298	0.6635
ACE2	ACAA1	ACE2	ACAA1	0.3202	0.4613	0.4265	0.6621	0.0000
ACE2	ACY1	ACE2	ACY1	0.3033	0.4729	0.4700	0.6610	0.0000
ACE2	AGXT	ACE2	AGXT	0.3010	0.4848	0.4717	0.7243	0.0000
ACE2	ALPP	ACE2	ALPP	0.2055	0.0977	0.0621	0.1441	0.0886
ACE2	AMBP	ACE2	AMBP	0.2605	-0.4063	-0.3490	-0.2254	0.0000
ACE2	BAIAP2	ACE2	BAIAP2	0.3202	0.5150	0.5181	0.9312	0.0000
ACE2	CD163	ACE2	CD163	0.2370	0.3167	0.2889	0.1871	0.0000
ACE2	CD209	ACE2	CD209	0.2060	-0.1621	-0.2036	-0.0772	0.0045
ACE2	CDHR2	ACE2	CDHR2	0.3495	0.4893	0.4739	0.7875	0.0000
ACE2	CEP43	ACE2	CEP43	0.2275	0.0223	0.0874	0.0142	0.6978
ACE2	DKK3	ACE2	DKK3	0.2439	-0.2343	-0.3368	-0.1590	0.0000
ACE2	GALNT10	ACE2	GALNT10	0.2733	0.3152	0.3481	0.1627	0.0000
ACE2	GGT1	ACE2	GGT1	0.3727	0.5968	0.5542	0.6348	0.0000
ACE2	IL1R2	ACE2	IL1R2	0.2740	0.3908	0.4773	0.2166	0.0000
ACE2	IL32	ACE2	IL32	0.2441	0.3487	0.3288	0.2790	0.0000
ACE2	IL4R	ACE2	IL4R	0.2639	0.4498	0.3214	0.4491	0.0000
ACE2	LGALS7_LGALS7B	ACE2	LGALS7_LGALS7B	0.2434	-0.2836	-0.3421	-0.2753	0.0000
ACE2	MICB_MICA	ACE2	MICB_MICA	0.2236	0.0294	0.0657	0.0591	0.6087
ACE2	MME	ACE2	MME	0.3644	0.5960	0.5707	0.8970	0.0000
ACE2	PIGR	ACE2	PIGR	0.2614	0.4128	0.3896	0.2847	0.0000
ACE2	SCLY	ACE2	SCLY	0.3253	0.4468	0.4405	0.5509	0.0000
ACE2	SLC39A14	ACE2	SLC39A14	0.2363	0.2659	0.3151	0.1595	0.0000
