source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AARSD1	CA2	AARSD1	CA2	0.7624	0.8073	0.8062	1.0208	0.0000
AARSD1	CARHSP1	AARSD1	CARHSP1	0.7715	0.7558	0.7476	0.7326	0.0000
AARSD1	PDP1	AARSD1	PDP1	0.4921	-0.1814	-0.2426	-0.3234	0.0001
AARSD1	PKLR	AARSD1	PKLR	0.7299	0.7513	0.7803	0.8692	0.0000
AARSD1	PPME1	AARSD1	PPME1	0.6886	0.7595	0.7592	0.6333	0.0000
AARSD1	TGM2	AARSD1	TGM2	0.6456	0.6889	0.7007	1.0506	0.0000
AARSD1	UBAC1	AARSD1	UBAC1	0.6622	0.7151	0.7361	0.5541	0.0000
ABHD14B	PEBP1	ABHD14B	PEBP1	0.3650	0.4436	0.3798	0.5346	0.0000
ABHD14B	SCRN1	ABHD14B	SCRN1	0.2382	0.3186	0.2980	0.3618	0.0000
ABHD14B	SOD1	ABHD14B	SOD1	0.3531	0.3637	0.3326	0.4486	0.0000
ABL1	BAX	ABL1	BAX	0.3498	0.4543	0.4387	0.4917	0.0000
ABL1	CC2D1A	ABL1	CC2D1A	0.4178	0.4677	0.5031	0.4883	0.0000
ABL1	CXCL12	ABL1	CXCL12	0.4198	-0.4912	-0.4830	-0.5310	0.0000
ABL1	DBI	ABL1	DBI	0.4297	0.6089	0.5068	0.6790	0.0000
ABL1	DNMBP	ABL1	DNMBP	0.4241	0.5397	0.5856	0.5449	0.0000
ABL1	DPEP2	ABL1	DPEP2	0.4886	-0.5879	-0.5700	-0.6823	0.0000
ABL1	DTX3	ABL1	DTX3	0.2785	0.4513	0.4394	0.2621	0.0000
ABL1	EIF4B	ABL1	EIF4B	0.4896	-0.4361	-0.5353	-0.4448	0.0000
ABL1	FRZB	ABL1	FRZB	0.3978	-0.5432	-0.5051	-0.5466	0.0000
ABL1	GMPR	ABL1	GMPR	0.4725	-0.5407	-0.5781	-0.7236	0.0000
ABL1	IFNLR1	ABL1	IFNLR1	0.3868	-0.4296	-0.3767	-0.4790	0.0000
ABL1	ITGA5	ABL1	ITGA5	0.4145	-0.4510	-0.3719	-0.3309	0.0000
ABL1	PSME1	ABL1	PSME1	0.5121	-0.6093	-0.6204	-0.5979	0.0000
ABL1	S100A4	ABL1	S100A4	0.5134	-0.4802	-0.5269	-0.5431	0.0000
ABL1	TARBP2	ABL1	TARBP2	0.3716	0.4121	0.5059	0.3293	0.0000
ABL1	TRIAP1	ABL1	TRIAP1	0.4640	0.5697	0.4988	0.6313	0.0000
ACAA1	AGXT	ACAA1	AGXT	0.3814	0.6037	0.5026	0.6469	0.0000
ACAA1	C19ORF12	ACAA1	C19ORF12	0.2911	0.4058	0.3398	0.3197	0.0000
ACAA1	DCXR	ACAA1	DCXR	0.3756	0.4688	0.4614	0.3322	0.0000
ACAA1	DDAH1	ACAA1	DDAH1	0.3532	0.3086	0.2450	0.2144	0.0000
ACAA1	EPHX2	ACAA1	EPHX2	0.3212	0.4741	0.3715	0.4059	0.0000
ACAA1	GFER	ACAA1	GFER	0.3553	0.5295	0.4608	0.3574	0.0000
ACAA1	GRPEL1	ACAA1	GRPEL1	0.4198	0.6239	0.5330	0.5117	0.0000
ACAA1	HAO1	ACAA1	HAO1	0.3706	0.5876	0.5235	0.9026	0.0000
ACAA1	KYNU	ACAA1	KYNU	0.3591	0.5493	0.5068	0.3505	0.0000
ACAA1	SCLY	ACAA1	SCLY	0.3866	0.5984	0.5098	0.4321	0.0000
ACAA1	SCP2	ACAA1	SCP2	0.2735	0.4605	0.4134	0.4135	0.0000
ACAN	APOH	ACAN	APOH	0.1628	0.1678	0.1373	0.2942	0.0004
ACAN	CES1	ACAN	CES1	0.2240	-0.3230	-0.3145	-1.1363	0.0000
ACAN	GUSB	ACAN	GUSB	0.2029	-0.2170	-0.2217	-0.4396	0.0000
ACAN	LEP	ACAN	LEP	0.2032	-0.3712	-0.3591	-1.5098	0.0000
ACAN	MMP13	ACAN	MMP13	0.1947	0.2757	0.2217	0.5652	0.0000
ACAN	NPTXR	ACAN	NPTXR	0.2162	0.2646	0.3661	0.4849	0.0000
ACAN	PLA2G15	ACAN	PLA2G15	0.2125	-0.2827	-0.2909	-0.2804	0.0000
ACAN	ROR1	ACAN	ROR1	0.2211	0.3691	0.3578	0.5295	0.0000
ACAN	SUSD2	ACAN	SUSD2	0.1659	0.2315	0.2537	0.2357	0.0000
ACE2	BAIAP2	ACE2	BAIAP2	0.3300	0.4698	0.4235	0.6816	0.0000
ACE2	CA5A	ACE2	CA5A	0.3317	0.5047	0.4990	0.8188	0.0000
ACE2	CALCA	ACE2	CALCA	0.2852	0.3958	0.4438	0.7038	0.0000
ACE2	CDH2	ACE2	CDH2	0.2937	0.3872	0.4356	0.3078	0.0000
ACE2	CPM	ACE2	CPM	0.2100	0.1204	0.0491	0.0799	0.0107
ACE2	GGT1	ACE2	GGT1	0.3330	0.6034	0.5548	0.6004	0.0000
ACE2	IL17A	ACE2	IL17A	0.1830	0.0643	0.0651	0.0492	0.1738
ACE2	IL1RL1	ACE2	IL1RL1	0.2972	0.3811	0.4347	0.5287	0.0000
ACE2	KLK10	ACE2	KLK10	0.2508	-0.2984	-0.3647	-0.2428	0.0000
ACE2	KRT18	ACE2	KRT18	0.3286	0.5413	0.5256	0.9152	0.0000
ACE2	MME	ACE2	MME	0.3235	0.5781	0.5387	0.7164	0.0000
ACE2	PIGR	ACE2	PIGR	0.2874	0.4753	0.4257	0.2476	0.0000
ACE2	PTPRS	ACE2	PTPRS	0.2697	-0.3706	-0.4284	-0.1600	0.0000
ACE2	TSPAN1	ACE2	TSPAN1	0.2026	0.1285	0.2672	0.1596	0.0064
ACE2	XG	ACE2	XG	0.2806	-0.2867	-0.4426	-0.2807	0.0000
ACOX1	DOK2	ACOX1	DOK2	0.5956	0.6735	0.7320	1.0539	0.0000
ACOX1	LRPAP1	ACOX1	LRPAP1	0.4035	0.3477	0.4874	0.2921	0.0000
ACOX1	MRPL46	ACOX1	MRPL46	0.6095	0.7525	0.7632	0.6298	0.0000
ACOX1	PLA2G4A	ACOX1	PLA2G4A	0.6237	0.6172	0.7216	0.7233	0.0000
ACOX1	USP8	ACOX1	USP8	0.6432	0.7243	0.7565	1.2448	0.0000
ACP5	ACY1	ACP5	ACY1	0.2694	0.4510	0.4577	0.7310	0.0000
ACP5	CD163	ACP5	CD163	0.2264	0.1882	0.2334	0.1799	0.0001
ACP5	CD207	ACP5	CD207	0.2964	-0.4296	-0.4595	-0.4414	0.0000
ACP5	COMP	ACP5	COMP	0.2591	-0.3644	-0.3957	-0.4196	0.0000
ACP5	CTSD	ACP5	CTSD	0.2704	0.3226	0.4003	0.2814	0.0000
ACP5	FAM3B	ACP5	FAM3B	0.2768	-0.4336	-0.4348	-0.4422	0.0000
ACP5	FLRT2	ACP5	FLRT2	0.2484	-0.3054	-0.4022	-0.2387	0.0000
ACP5	LPL	ACP5	LPL	0.2289	-0.2433	-0.3204	-0.3180	0.0000
ACP5	NOMO1	ACP5	NOMO1	0.1864	0.3477	0.3325	0.1895	0.0000
ACP5	OGN	ACP5	OGN	0.2738	-0.3705	-0.4221	-0.5890	0.0000
ACP5	SSC5D	ACP5	SSC5D	0.2306	0.3075	0.3400	0.2828	0.0000
ACP6	CRHBP	ACP6	CRHBP	0.1630	0.0875	0.1205	0.0526	0.0638
ACP6	STX16	ACP6	STX16	0.2901	0.3359	0.3983	0.4036	0.0000
ACTA2	AMIGO2	ACTA2	AMIGO2	0.3573	-0.4598	-0.5129	-0.1911	0.0000
ACTA2	CALB1	ACTA2	CALB1	0.3306	0.4318	0.4359	0.4334	0.0000
ACTA2	EDA2R	ACTA2	EDA2R	0.5294	0.7492	0.7060	0.9419	0.0000
ACTA2	FCRL1	ACTA2	FCRL1	0.2974	-0.3634	-0.4617	-0.3105	0.0000
ACTA2	GALNT7	ACTA2	GALNT7	0.4160	-0.4415	-0.5370	-0.2171	0.0000
ACTA2	GDF15	ACTA2	GDF15	0.5209	0.6323	0.6343	0.9208	0.0000
ACTA2	HAVCR1	ACTA2	HAVCR1	0.4328	0.5354	0.5404	0.6501	0.0000
ACTA2	HSPB6	ACTA2	HSPB6	0.4827	0.6592	0.6603	0.6286	0.0000
ACTA2	LTBP2	ACTA2	LTBP2	0.4910	0.5774	0.6098	0.6921	0.0000
ACTA2	NOS1	ACTA2	NOS1	0.4439	0.5940	0.6080	0.8345	0.0000
ACTA2	NTPROBNP	ACTA2	NTPROBNP	0.4673	0.6630	0.6020	1.5493	0.0000
ACTA2	PSG1	ACTA2	PSG1	0.3284	0.4054	0.4028	0.5872	0.0000
ACTA2	SNCG	ACTA2	SNCG	0.4261	0.5758	0.5198	0.7679	0.0000
ACTA2	TNFRSF1A	ACTA2	TNFRSF1A	0.5028	0.6575	0.5870	0.5941	0.0000
ACTA2	WFDC2	ACTA2	WFDC2	0.5171	0.7198	0.7000	0.8189	0.0000
ACTA2	WNT9A	ACTA2	WNT9A	0.4856	0.6468	0.6431	0.4174	0.0000
ACTN4	ANXA5	ACTN4	ANXA5	0.2262	0.3411	0.3214	0.4502	0.0000
ACTN4	ARNT	ACTN4	ARNT	0.1962	0.3845	0.3525	0.5224	0.0000
ACTN4	BETANGF	ACTN4	BETANGF	0.2043	0.3721	0.2340	0.3258	0.0000
ACTN4	CCL22	ACTN4	CCL22	0.2479	-0.2000	-0.2838	-0.4363	0.0000
ACTN4	CRISP2	ACTN4	CRISP2	0.1625	0.1063	0.1364	0.1696	0.0243
ACTN4	DGKZ	ACTN4	DGKZ	0.2099	0.3819	0.2913	0.4095	0.0000
ACTN4	HSP90B1	ACTN4	HSP90B1	0.2114	0.2242	0.3144	0.3670	0.0000
ACTN4	ITGB6	ACTN4	ITGB6	0.1868	0.1910	0.2488	0.2165	0.0000
ACTN4	KCNIP4	ACTN4	KCNIP4	0.1949	0.3973	0.3018	0.5307	0.0000
ACTN4	NFATC3	ACTN4	NFATC3	0.2201	0.3516	0.3453	0.4492	0.0000
ACVRL1	CD302	ACVRL1	CD302	0.4734	0.7032	0.6417	0.9293	0.0000
ACVRL1	CD38	ACVRL1	CD38	0.3133	0.5557	0.2922	0.5067	0.0000
