source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AARSD1	ASGR1	AARSD1	ASGR1	0.5945	-0.7595	-0.7784	-0.5994	0.0000
AARSD1	ATG4A	AARSD1	ATG4A	0.6891	0.8602	0.8566	0.9232	0.0000
AARSD1	CASC4	AARSD1	CASC4	0.5649	-0.6749	-0.6850	-0.4134	0.0000
AARSD1	CCL19	AARSD1	CCL19	0.5037	-0.3411	-0.4848	-0.3679	0.0058
AARSD1	CSF1	AARSD1	CSF1	0.6291	-0.7633	-0.7696	-0.5541	0.0000
AARSD1	CTSS	AARSD1	CTSS	0.6712	-0.4035	-0.5556	-0.2470	0.0009
AARSD1	FOLR2	AARSD1	FOLR2	0.5585	-0.4992	-0.6101	-0.3866	0.0000
AARSD1	GMPR	AARSD1	GMPR	0.6855	0.7042	0.6578	0.5997	0.0000
AARSD1	IL2RA	AARSD1	IL2RA	0.5751	-0.6453	-0.6738	-0.5014	0.0000
AARSD1	LILRB2	AARSD1	LILRB2	0.5641	-0.2946	-0.4737	-0.2322	0.0181
AARSD1	PIGR	AARSD1	PIGR	0.6136	-0.6754	-0.7865	-0.4961	0.0000
AARSD1	PIK3AP1	AARSD1	PIK3AP1	0.5361	0.6246	0.6993	0.6353	0.0000
AARSD1	PSMG3	AARSD1	PSMG3	0.5775	0.8100	0.7272	0.5954	0.0000
AARSD1	PVALB	AARSD1	PVALB	0.6593	0.3922	0.5547	0.5826	0.0014
AARSD1	SEMA3F	AARSD1	SEMA3F	0.5793	-0.6645	-0.7360	-0.4787	0.0000
AARSD1	STAMBP	AARSD1	STAMBP	0.6384	0.6907	0.7593	0.8003	0.0000
AARSD1	TBC1D17	AARSD1	TBC1D17	0.6573	0.6717	0.8060	0.5483	0.0000
AARSD1	UBAC1	AARSD1	UBAC1	0.5028	0.6663	0.5639	0.3532	0.0000
ABHD14B	ATOX1	ABHD14B	ATOX1	0.7031	0.8180	0.8473	0.8953	0.0000
ABHD14B	DBI	ABHD14B	DBI	0.7728	0.8501	0.8578	1.2168	0.0000
ABHD14B	F2R	ABHD14B	F2R	0.7097	0.8234	0.8294	0.7162	0.0000
ABHD14B	FABP5	ABHD14B	FABP5	0.7631	0.8278	0.8459	1.0898	0.0000
ABHD14B	FKBP1B	ABHD14B	FKBP1B	0.7468	0.7928	0.7723	1.8567	0.0000
ABHD14B	IMPA1	ABHD14B	IMPA1	0.7480	0.8377	0.8433	0.9261	0.0000
ABHD14B	MATN2	ABHD14B	MATN2	0.6833	-0.7146	-0.7523	-0.5186	0.0000
ABHD14B	MTPN	ABHD14B	MTPN	0.7261	0.7306	0.7208	0.5590	0.0000
ABHD14B	NSFL1C	ABHD14B	NSFL1C	0.8694	0.8117	0.8337	1.0936	0.0000
ABHD14B	NUDT2	ABHD14B	NUDT2	0.7118	0.7938	0.7976	0.9763	0.0000
ABHD14B	PEBP1	ABHD14B	PEBP1	0.7291	0.8828	0.8858	1.0065	0.0000
ABHD14B	PRDX1	ABHD14B	PRDX1	0.6261	0.4986	0.6362	1.1731	0.0000
ABHD14B	PRDX6	ABHD14B	PRDX6	0.7228	0.8245	0.8169	0.7990	0.0000
ABHD14B	RASA1	ABHD14B	RASA1	0.5488	-0.2255	-0.2220	-0.1189	0.0732
ABHD14B	SCRN1	ABHD14B	SCRN1	0.7095	0.8218	0.8185	1.0912	0.0000
ABHD14B	SIRT2	ABHD14B	SIRT2	0.8185	0.7409	0.7908	1.2273	0.0000
ABHD14B	SOD1	ABHD14B	SOD1	0.7302	0.8194	0.8237	0.7339	0.0000
ABL1	AMFR	ABL1	AMFR	0.7626	0.7503	0.7720	0.5701	0.0000
ABL1	ATOX1	ABL1	ATOX1	0.8864	0.8993	0.8998	0.6694	0.0000
ABL1	CDC27	ABL1	CDC27	1.0474	0.8789	0.9034	0.7550	0.0000
ABL1	CORO1A	ABL1	CORO1A	1.0400	0.9239	0.9289	1.4586	0.0000
ABL1	DNMBP	ABL1	DNMBP	1.0552	0.9403	0.9367	0.8330	0.0000
ABL1	FXYD5	ABL1	FXYD5	0.9240	0.9071	0.9281	0.7762	0.0000
ABL1	GFER	ABL1	GFER	0.9254	0.8669	0.8652	0.8472	0.0000
