Feature,Importance
TNFRSF10A,0.005367318008149661
JUN,0.005143898334034088
IL6,0.003762660238630299
BAX,0.0030619645393873177
TNFRSF1A,0.002778228329204319
LYN,0.002335580746869594
TNFRSF10B,0.0020742327819703267
ITGB1,0.0020338557917019143
COL9A1,0.0015328051450334932
ACAA1,0.001527937909508636
MAPK9,0.0015212539769579574
PLAUR,0.0014301790942781959
S100P,0.0013527345426137863
CKAP4,0.0012894608079576876
CCL7,0.0012667674128667783
PTEN,0.0010740990770715217
CCL20,0.0010507018377573936
TRIAP1,0.0010208617751178263
POLR2F,0.0010009733298430772
TNFSF11,0.0009955887516539437
ITGAV,0.0009363130098215592
COL1A1,0.0009050385176766224
CHI3L1,0.0008948836198888361
HSPA1A,0.0008831354600457448
HGF,0.0008766236478228563
IL3RA,0.0008680053792056114
CXCL8,0.0008493226786927791
ITGA5,0.0008440092128795512
ITGB7,0.0008121793755825575
S100A11,0.0008017835945742333
CXCL9,0.0007927600579756687
FKBP5,0.0007826963075151885
MNDA,0.000750537979360161
SFRP1,0.000739149747210884
PLA2G2A,0.0007097774925323605
CSF1,0.0007012839223857514
CXCL10,0.0006821794979066909
TNXB,0.0006699185255261578
LIF,0.0006552646174834146
PRTN3,0.0006424532855895472
AREG,0.0006310375965424803
DBI,0.0006192308381797727
TIMP1,0.0006079104389813213
CASP8,0.0005722326564844991
AZU1,0.0005590576462721417
ZBTB17,0.0005452949858111318
NPM1,0.0005341708096466138
NCF2,0.0004939782595804664
NAMPT,0.0004925068572068557
ITGA11,0.00048809617340319614
SRP14,0.000487883194540938
CASP1,0.00045460594216108154
NDRG1,0.00045401350377904514
SELPLG,0.00044432188999766337
CSTB,0.0004337749915386506
FLT3LG,0.00042096108014721945
CCL3,0.0004172550595511347
EGFR,0.0004164526754872977
PTX3,0.0004148382670978876
OSM,0.00041281881667475497
FLT3,0.00041228394696128374
IL16,0.0004019863708313329
PXN,0.00039527525634859746
CEACAM8,0.00039365600804870454
MMP8,0.00037799805646459303
IGFBP3,0.000364308906707016
NTF4,0.0003603344980992895
CTSH,0.0003587685294832814
SEMA4D,0.000356465827049347
BRK1,0.00035237508066004054
RNASE3,0.0003496415046454865
DDAH1,0.0003275224125209186
SDC1,0.0003274380893222916
ATOX1,0.00032168711031874456
NINJ1,0.0003158997465792805
OLR1,0.00030697684693052835
LCN2,0.0002901016062185933
LGALS9,0.0002689735465503342
KLK6,0.00026677990828583313
DNER,0.0002655861101123199
MPIG6B,0.0002604321095209637
CXCL13,0.0002502801132448833
ATP6V1D,0.0002449891609024362
CLEC5A,0.00023678658174977678
KIT,0.0002218188442316488
GBP2,0.00021529862395035622
SERPINB8,0.0001907014467672536
KDR,0.00018420863009821646
FSTL3,0.00018364198507128242
CCL22,0.00017724008815749373
SFTPA2,0.00017484283832026903
RETN,0.00016667637833507742
SFTPA1,0.00016028090111466051
CD200,0.0001526739353857498
FGF21,0.00014644413872407327
CLSTN1,0.00014498387071472705
IL1RN,0.00014360020509885746
TRIM21,0.0001419134870723354
SERPINB5,0.00012269154773378738
FASLG,0.00012066358050494707
MZB1,0.00011763526910872639
GPR37,0.00011554971045293775
TNFRSF6B,0.00011513311498937846
MASP1,0.00011231043690711963
APBB1IP,0.00010865258605574956
CRH,0.00010376756062987954
TYRO3,0.00010334528121415853
CLEC11A,0.00010107706505004617
MAD1L1,9.982087890709747e-05
SCARB2,9.933381382366549e-05
CALCA,9.841450567983656e-05
PLAT,9.707308755152626e-05
TNFSF10,9.635291154907799e-05
AGRN,9.55118572305287e-05
BMP6,9.335161269133604e-05
LBR,9.101301002688352e-05
KRT18,9.045811991997226e-05
GPC5,8.522009861390268e-05
NOTCH1,8.401716492314402e-05
CD300E,8.106415787326226e-05
HYAL1,7.87810808708112e-05
EFNA1,7.395170721516577e-05
CR2,7.238602549528838e-05
BCL2L11,7.208586958871286e-05
PADI2,6.838877978189338e-05
NCAM1,6.82541792370503e-05
FABP5,6.81914352151049e-05
GFRA3,6.664309466468464e-05
ITGB2,6.62393199472392e-05
ADAM15,6.579009747452709e-05
ARHGAP1,6.333185124549954e-05
ERBB2,6.07942695515454e-05
SLITRK6,6.017787118054261e-05
ROR1,5.9488775514755505e-05
SLC39A14,5.784506480834399e-05
LGALS1,4.4974861724773725e-05
CLTA,4.2767310745356915e-05
GPNMB,4.1125598422190975e-05
CCL28,3.872126115739097e-05
ASAH2,3.7461064790520957e-05
EDAR,3.684728875827709e-05
FMNL1,3.367255837070979e-05
HAVCR2,3.3414342105037674e-05
GFRA2,3.339293743870431e-05
AMIGO2,3.267129658997661e-05
PARP1,3.204087511132176e-05
CDH2,3.203370568329105e-05
LEPR,3.199565367842006e-05
BCAN,3.0176777960322292e-05
ROBO2,2.8934525610152913e-05
TIE1,2.718316619475572e-05
SLIT2,2.670611877133978e-05
CD1C,2.6458289663776807e-05
L1CAM,2.641228431362526e-05
C4BPB,2.505572107351333e-05
CCL16,2.383731521842988e-05
IL1R1,2.37442194765211e-05
IL4,2.3703829405996133e-05
CST7,2.3061024051356164e-05
CTSV,2.1324887229401182e-05
MET,2.0790291923011554e-05
PTPRS,2.050903262713636e-05
SPINK5,2.030679937615844e-05
FCAR,1.9489526769246986e-05
PTPRM,1.9255782506430113e-05
IL1RAP,1.8772116186074605e-05
PROC,1.86166021951386e-05
PODXL,1.8524911258287057e-05
CNTN4,1.8513481661653403e-05
CNTN1,1.838468699375658e-05
ACAN,1.7949195600300524e-05
ROBO1,1.7938011862647658e-05
CTSF,1.7731201756113962e-05
CRNN,1.6909846090807283e-05
IL7R,1.687293307142821e-05
FCN2,1.6729845964646427e-05
CD28,1.6442327336151582e-05
ENG,1.6245400234540616e-05
TSHB,1.5396727597366532e-05
BMP4,1.5111121572207975e-05
APLP1,1.4684383487627967e-05
CD244,1.447059905332319e-05
KLK8,1.4206443233069336e-05
VIM,1.379506279534298e-05
F7,1.3632846704840734e-05
CD200R1,1.3197261094759083e-05
TREM2,1.2669108633511288e-05
ENPP2,1.229291542112988e-05
MDK,1.1830529588505668e-05
WFDC2,1.1409972882551147e-05
LTA,1.1059712200183733e-05
CD207,1.0280962626495444e-05
VWF,9.803568054062228e-06
CHIT1,9.673488923750231e-06
ICOSLG,9.65377394506106e-06
LSP1,9.59247044197972e-06
OMG,9.115182963661569e-06
EZR,9.0873985205879e-06
NTRK2,8.967430553981269e-06
CDH5,8.910819895873475e-06
RRM2,8.618959287221872e-06
CD22,7.8289488584715e-06
ADAMTS13,7.584688546638141e-06
CD58,7.2737138797136765e-06
CNTN2,7.1414783370494835e-06
GDF15,7.054019400548134e-06
CDH6,6.9693039340365135e-06
DCTN2,6.1636673953898905e-06
VWA1,5.788232522971536e-06
SIGLEC6,5.622264320901943e-06
KLRB1,5.588907963006387e-06
MSLN,5.2550036237652085e-06
GDF2,4.4083936013026686e-06
SMAD5,4.252633293195599e-06
CDH17,4.04550257897822e-06
CD34,3.5327521578856935e-06
CHL1,3.28659013277847e-06
IL17RA,3.2456286969396215e-06
CLEC4C,3.2381426646635526e-06
LAMP2,3.017453798855569e-06
NADK,3.0094802706323397e-06
KITLG,2.8942886080080753e-06
VSIG4,2.22229938436672e-06
CD6,1.7159699710034247e-06
EPCAM,1.6633101365815268e-06
CD8A,1.6516253453378132e-06
SLAMF8,1.1344095823356418e-06
DPEP1,1.1072517264844414e-06
NMNAT1,1.0823805252846899e-06
PON3,9.80847956982005e-07
SIGLEC10,8.987768442718286e-07
ANG,8.613704619710317e-07
NCAM2,8.300848793452436e-07
CD300C,7.165944997134634e-07
CNTNAP2,5.673591356800289e-07
BTN3A2,5.592519064020244e-07
TMSB10,5.454861527118092e-07
ELOA,5.389850329528185e-07
MSTN,5.208954640832996e-07
AGR2,4.900112313525058e-07
ERP44,4.6600715955593805e-07
FCRL3,3.7714883697855675e-07
TIMP4,1.8046769686942154e-07
MSR1,4.367574614948319e-08
DSG3,9.525131688324407e-09
DSG4,7.510497213058507e-09
ISLR2,5.8480326675278415e-09
LPL,3.7580288938085785e-09
LYPD3,3.5137451236940447e-09
ING1,4.03145836506044e-11
