Feature,Importance
BAX,0.00451022621410857
JUN,0.004089088229648041
LYN,0.0028022063843309297
TNFRSF10A,0.0026087017525071587
COL1A1,0.002568208216302992
IL6,0.0023277400841834606
TNFRSF1A,0.0021188374227953943
POLR2F,0.0020527497562738972
COL9A1,0.0016703922295846496
PTEN,0.0016310817522935395
TNFRSF10B,0.0015937109329939858
TRIAP1,0.0015610632570570715
ACAA1,0.0015242244495539126
ITGB1,0.00143527794784859
ITGA5,0.001424780215785404
MAPK9,0.001245648508472641
HSPA1A,0.0012309055265475877
CCL7,0.0012049816968016103
TNFSF11,0.0011627226875532415
PRTN3,0.0011228666743363647
S100P,0.001090640089671524
FKBP5,0.0010294029893032075
ITGAV,0.0010095109353187581
PLAUR,0.0009753650422332782
S100A11,0.0009532970604482216
CASP1,0.0008664339836563784
ITGB7,0.0008661549445392325
DNER,0.0008619845924044967
MNDA,0.0008559688210993954
SRP14,0.0008207547277834237
ITGA11,0.0007801017036683788
PLA2G2A,0.0007551370379133004
NCF2,0.0007506840913436008
CKAP4,0.0007494592624084362
PXN,0.0006508974119148192
TNXB,0.0006492175492383012
MPIG6B,0.000646540655679928
TIMP1,0.0006437669045027405
NDRG1,0.0006407126432215193
NPM1,0.0006395409597992341
ZBTB17,0.0006097309992583178
CXCL8,0.0005997284214700471
CHI3L1,0.0005724997651253005
IGFBP3,0.0005514840853191316
AREG,0.0005408601518794853
AZU1,0.0005407040415832398
NAMPT,0.000539796214297894
HGF,0.0005246821725535256
CCL20,0.0005077627102956228
DDAH1,0.0005071269818017754
CSF1,0.0005041084496184567
CXCL10,0.0004969139986599203
GBP2,0.0004893482061953947
LIF,0.0004882135396506726
CASP8,0.00048680246164778396
BRK1,0.0004823421942035111
IL16,0.00046430787439177834
OSM,0.0004615756978978425
OLR1,0.0004490317744192396
PTX3,0.00044230690004809503
CXCL9,0.0004159305179296524
LCN2,0.0004021239641787133
MMP8,0.00039637310335294274
SERPINB8,0.00037143703357855884
RNASE3,0.00035765582717317557
