Feature,Importance
TIMP1,0.09876595884093894
IKBKG,0.08726347226218786
ITGAM,0.08245261647744387
JUN,0.07741368435068785
IL6,0.04348781279345544
LGALS9,0.04057308505227104
ITGB2,0.03168595657925023
INPPL1,0.030041046559629817
NFATC1,0.02816782153836371
SNAP23,0.025963312423040265
DUSP3,0.02579167645457378
GRAP2,0.024022979229575588
IL2RB,0.016673646807400123
GLB1,0.016242530618317232
ATP6AP2,0.01599576191012441
IL17RA,0.015563293156184394
HCLS1,0.014683142627926565
CD4,0.013145071097840038
BID,0.012190722119565844
LYN,0.010936625063870019
IL10RA,0.009794802904463721
S100A12,0.00954675605527938
PSMA1,0.009501643987092672
CCL2,0.009334452583903419
CCL7,0.0089558094655205
BIRC2,0.0084622362735379
SNAP29,0.007874751867911143
FYB1,0.007727007771678351
ACTN4,0.0073254703143471635
HSPB1,0.006976203007866458
PTX3,0.006723168754771065
LAMP2,0.0062662454649233465
CXCL10,0.006122216920333113
CLEC4D,0.005879290871046229
CD59,0.005775762825673715
OLR1,0.0056865363234921045
TNFRSF11A,0.005526324681348902
AGER,0.00530151240323903
HMOX1,0.005176918393004878
TNFRSF12A,0.005028250911614473
CXCL8,0.0049240681585408595
DOK2,0.004865464284501285
PTEN,0.004840264667986328
ANXA5,0.004667580662528124
TNFRSF10B,0.0046587722190552785
CCL20,0.004461262406146069
NAMPT,0.004354963653485316
PRKCQ,0.00415522418464768
CLEC5A,0.004109853841575386
EDA2R,0.004030045001740711
TANK,0.003961808036637264
SUGT1,0.003923004609958018
LCN2,0.003812263772503894
DCTN1,0.003779429036441098
PTPN1,0.003764697871973532
TNFSF14,0.0037315237389631455
CD27,0.003637731125219716
SLAMF6,0.0036312161664225186
CD1C,0.003607447263879294
PRTN3,0.0034763441821465116
CEACAM21,0.0032505415870658066
PRDX5,0.0031918793710538013
S100A11,0.0031100840900261783
NPM1,0.003023635051606071
IL1B,0.00300828959110274
DAB2,0.002974570081510487
CD28,0.002902802674553711
MAPK9,0.0027891607617015076
SERPINB8,0.0026804191886180273
ITGB1,0.0025949345594255225
ITGA5,0.00256612588680806
FBP1,0.002498804279391869
SHMT1,0.002497087240397657
CCL4,0.0024473754904706414
TNFRSF10A,0.0024200630366285622
ITGB7,0.002385256252630615
NCF2,0.0023526274485697147
PPP1R12A,0.0023385622009079376
CD160,0.002313121010464014
NCAM1,0.00227790856230254
ERP44,0.0022293671704436257
TNFSF10,0.0021847483629952387
CD22,0.002175187682557617
PTPN6,0.002139578454190421
AZU1,0.002096960658042637
FCER2,0.002082491523443493
CD8A,0.0020354652845011372
HGF,0.0019102826186820562
OSM,0.0018881429471438458
CD79B,0.0018861051717804001
CD58,0.0018759867013827367
ADAM8,0.0018611917748225656
ACVRL1,0.001787860299265818
DGKZ,0.0016779521092099598
IL15,0.0016524724165944392
MYO9B,0.0015532538304634308
FLT3LG,0.0015299181023339945
NCR1,0.0015016826602922474
LGALS1,0.0014710392825933154
S100P,0.001419740498266492
ITGB1BP1,0.0013137089810286748
RNASE3,0.0013050933844979227
