Feature,Importance
TIMP1,0.14700337852436746
JUN,0.1450906958738468
ITGB2,0.07845502870112996
IKBKG,0.06592230814293598
IL6,0.06285159435911039
ITGAM,0.06252531921523204
S100A11,0.05389565978351553
LGALS1,0.05002937370636225
CD63,0.04232576262393693
LAMP2,0.041468971719861546
S100A12,0.041105570705696384
IL10RA,0.039304153692762654
HMOX1,0.034305878146641586
CD4,0.030246748673335752
BIRC2,0.030238836410866797
ITGB1,0.027295909589639025
INPPL1,0.025441524104346764
ACTN4,0.02517382249143154
NFATC1,0.02378154939233723
TANK,0.023146143369054958
HCLS1,0.02292948888065622
ATP6AP2,0.022470860056985446
TNFSF10,0.021760867833400817
NPM1,0.021757975190401773
PTEN,0.021424530517237764
IL2RB,0.021085246283681847
PSMA1,0.02091655125364085
FLT3LG,0.02047801205940506
IL12RB1,0.019977739732724244
MAPK9,0.018475904868150116
PRDX5,0.017643969435250935
AGER,0.017074109137667205
LGALS9,0.01653243091236268
NFATC3,0.01625929075326346
TNFRSF10B,0.015487430363108755
CCL2,0.015117114043572046
GLB1,0.015014247973295699
BID,0.014907140336988941
ITGB7,0.01486006149195834
DCTN1,0.013496877555514607
PRTN3,0.013359027378671687
IL17RA,0.012571568118101808
CCL20,0.012558474730497555
PRKCQ,0.012451572475003527
CD27,0.012445035941493498
DUSP3,0.012425953118546851
HSPB1,0.012177497832330877
SNAP23,0.012009570937668346
CCL7,0.011856862598902543
GRAP2,0.011061855245912527
NCF2,0.010899494621497346
SIGLEC9,0.010294736863975886
CXCL8,0.010261182064560014
PTX3,0.010239026853205135
HGF,0.01011338173358711
OLR1,0.009617208470107023
CD48,0.0094061514474152
VEGFA,0.009360571740224675
ERP44,0.00924842230747
SLAMF6,0.009194372450328345
FCER2,0.009175207067611716
TPT1,0.008846842842001452
CXCL10,0.008756743775464423
F3,0.008698012480722194
TNFSF14,0.008576108192448069
ANXA5,0.008537997540021292
LGALS3,0.008410677937194539
CD58,0.008346003639955505
ITGB1BP1,0.008030055253712217
CD160,0.007740244258610085
ICAM2,0.007664624941681523
CD22,0.007475557546018622
OSM,0.007467893234067116
IL5RA,0.007464884852842808
LYN,0.007429875381013196
CCL4,0.007347779536222305
SH2D1A,0.007059122665945047
AZU1,0.00701586033872879
CEACAM21,0.006854505326257065
ITGA5,0.006753754870435097
EIF5A,0.0066995667395291034
TNFRSF10A,0.006570585412764838
IL15,0.0063532729252487674
DGKZ,0.006140675686124108
PTPN6,0.0054914336801445114
IL1B,0.005475300469240238
SNAP29,0.00536804704955549
CD28,0.005314819094627854
LY96,0.005173700938304618
ADA2,0.004891533383845807
KLRB1,0.004850447930868885
S100P,0.004653843936410064
MYO9B,0.0045802546218367355
CD1C,0.00450366852715807
ADAM8,0.0044916935318326644
TXNDC5,0.004334076676396801
SERPINB8,0.004213880553917435
TNFRSF8,0.004200425385783916
CLEC5A,0.004181875198366114
SUGT1,0.004059284910082948
TNFRSF12A,0.003914668354407878
DOK2,0.0038803906579432095
SHMT1,0.003875345851730704
PTPN1,0.003793946705999611
VCAN,0.0035974937764122776
RNASE3,0.0034987214057852177
KRT18,0.003341733223877764
ANXA4,0.0033101567881866087
THOP1,0.003193087345053616
CD244,0.0031805498752367004
CSF1,0.0031187996900459234
TNFAIP8,0.0031075255931491776
FYB1,0.003065574704388653
CD79B,0.0028329117974886684
VWF,0.0028031676325105197
BLMH,0.0027413486974080543
BAG3,0.002733537245827977
CDKN2D,0.0026002376828102632
MANF,0.0025650877275453865
CCL23,0.002517252114055679
ENO1,0.0025008973621612526
NAMPT,0.0024554423193472877
CD70,0.00244806824078126
LCN2,0.002426751992413393
TGFA,0.002378913371652346
PLAT,0.0023068009563636306
CD8A,0.002306063497647136
FCRL3,0.00222277614373737
IL18R1,0.0020789546565726466
NCR1,0.002063793189118225
TREM2,0.0020347178886310742
FBP1,0.002015215824978621
SPP1,0.0019184178523171539
PADI2,0.0018939035017593643
DAB2,0.0017949257443006616
CLEC4D,0.0017198438550404317
PVR,0.0017121849356182542
ULBP2,0.0015934922220517509
LYAR,0.0015507534559114486
CLTA,0.0014935772969369228
IRAK4,0.0014534444036784114
GPC1,0.0013656391865163136
FCGR2B,0.0013493493783585044
TNFRSF11A,0.0013396873250622753
TYMP,0.0013103803419003334
CXCL16,0.0012596528479462661
FSTL3,0.0012422353249729845
EDA2R,0.0012150714766558516
MERTK,0.0012069078309294749
FCAR,0.0010117285036975803
CD83,0.0010053996175597873
PPP1R12A,0.0009699974366327289
CD59,0.0009234127139345048
FLT1,0.0008800999964475266
CST7,0.0008761338220204633
ENAH,0.0008096271658343546
STX16,0.0007219764038660016
DNAJA2,0.0006958982340049505
STX8,0.0006656949361885198
NCAM1,0.0006583313912892817
TFPI,0.0006566019400488814
VAT1,0.000636480443126786
ZBTB17,0.0006305624688325746
MARCO,0.0006057074055604102
RRM2B,0.0006026998442104669
GOPC,0.0006000278458242021
SPON1,0.000598273980831712
MSLN,0.0005175151987150344
EFNA1,0.0004979468784036799
RRM2,0.0004952341240480933
LRP1,0.00048115001976246495
ACVRL1,0.0004398459338402128
MDK,0.00042216462217372025
FES,0.0004135245744621304
NINJ1,0.0003968428951654606
SRPK2,0.00030608177577212876
TNFRSF10C,0.0003027193403590225
CLEC4A,0.00026864607997716046
EFNA4,0.0002629068022989036
MFGE8,0.0002309469334550936
ARHGAP25,0.00022635338734300266
SUSD2,0.00021760540434566025
CORO1A,0.00021420200219820568
STX4,0.00020798747262413994
ACTA2,0.00020042020213323767
IGFBP4,0.00019106368003095304
KIR2DL3,0.00016659596489736179
LAT2,0.0001565451595933495
HEBP1,0.0001539938643675143
FST,0.00013398460946069827
ING1,0.0001253141344940929
ADAM15,0.00012406313217206685
ARHGAP1,0.00011625223350060176
SNX9,0.00011038413180070695
NADK,0.00010708640905776817
SKAP2,0.00010701899905988419
EGLN1,9.667184451852978e-05
NMNAT1,8.968149753433931e-05
AGRN,8.799656833600746e-05
CD5,8.006016238733499e-05
LILRB4,6.649982730112046e-05
HYOU1,6.406805696642866e-05
SLC39A14,6.375511934847513e-05
CLEC11A,6.206966925369682e-05
ALDH1A1,5.677361777847201e-05
SORD,4.926190375922253e-05
CD2AP,3.1173208388646496e-05
COL6A3,2.9137657803204176e-05
HS6ST1,2.1854362691460596e-05
RBKS,2.147759156150746e-05
DAG1,2.1295952129686297e-05
CD6,1.7975336116352446e-05
IGFBP2,1.3119154850086137e-05
SEMA4C,1.2595641954854474e-05
PPCDC,7.061163526968402e-06
LRIG1,5.490446924634926e-06
CNTNAP2,4.272325129613037e-06
EPHB4,2.830738698797653e-06
LY9,2.0513272790110293e-06
FEN1,1.9016631471773911e-06
FUS,1.3591799943059895e-06
MSR1,5.220233300973674e-07
CRIP2,3.192593275620912e-08
