Feature,Importance
IL6,0.001976745517074655
NCF2,0.0011439669799286549
TNFRSF10B,0.0008421049012771812
CCL20,0.0007843096920189821
DPY30,0.0007478322620373006
CHI3L1,0.0005645894588358889
AREG,0.00048554805362764663
POLR2F,0.0004272027505298646
AGR2,0.00038211701233260696
CKAP4,0.00031710712130057653
MMP8,0.0002718303509554925
JUN,0.00022960011267774037
CCL7,0.00020372656795024488
FASLG,0.00020331224411816707
BRK1,0.00019957680910862607
TNFRSF10A,0.00019717406125687145
IL1RAP,0.0001792775619186923
ELOA,0.0001734436723916335
TNFSF10,0.00017094710527062074
TNFRSF1A,0.00016921704347195546
LBR,0.00016897704112108476
ITGB1,0.00015257037034528453
FKBP5,0.00015218975327312124
HSPA1A,0.00015172900457397943
IL2RB,0.00014819319159850873
TNFRSF6B,0.00014305855438694293
IL7R,0.00013979058073766216
CCL16,0.00013311296308141758
DCTN2,0.00012592064031011392
LTA,0.00012407588517096994
CLSTN1,0.00011733786919501256
FLT3,0.00011641478767307888
OMG,0.00011581511990712195
CD300E,0.00011018140152293019
NPM1,0.0001067620927219702
CD8A,0.00010279878968383875
CASP1,0.00010242603492040844
KDR,0.00010142999893885524
CLEC5A,0.00010049356593997551
CXCL8,9.838085231037597e-05
CSTB,9.731160873691094e-05
CRH,9.545289570472368e-05
ERBB2,9.124230676987161e-05
SRP14,8.945587140172994e-05
NTF4,8.653807742633446e-05
DNER,8.628478126134207e-05
S100A11,8.612803438138356e-05
MAPK9,8.328697142059732e-05
CLEC4C,8.280519196070165e-05
CD22,7.960567930967205e-05
IL4,7.633439131360217e-05
CTSV,7.573406010631857e-05
TRIAP1,7.556877785366943e-05
MNDA,7.324684768279848e-05
IL1RN,7.091795134498812e-05
TNFSF12,6.99834874218039e-05
GBP2,6.857012887882234e-05
MAD1L1,6.742976455598182e-05
FBP1,5.6107776212149654e-05
APBB1IP,5.5789784764821205e-05
LGALS9,5.4425665801139056e-05
TNFSF11,5.408730127787818e-05
CXCL13,5.380475481333163e-05
KIT,5.31636413692523e-05
SDC1,5.314672537778403e-05
PTPRS,5.159056034217013e-05
AMIGO2,4.809650460264479e-05
NOTCH1,4.246847228742684e-05
FCN2,4.1933212627887295e-05
KRT18,4.0323687205139134e-05
HAVCR2,3.415260078264578e-05
CD28,3.344015779240287e-05
EZR,3.2857775340934225e-05
ITGB7,3.084679479910025e-05
ZBTB17,3.008615113295551e-05
LGALS1,2.9914442345520935e-05
RRM2,2.4557647323048587e-05
CTSF,2.4398956086396386e-05
CDH5,2.4249912597707375e-05
F7,2.403355293138005e-05
MASP1,2.3266389295281643e-05
ING1,2.203652438604272e-05
CR2,2.1474586614213105e-05
CD1C,2.059237193594148e-05
PDGFRB,2.0466476200764527e-05
GDF15,1.9932989973446144e-05
PSIP1,1.810856977598757e-05
KEL,1.809114099860405e-05
COL9A1,1.779195354474677e-05
EGLN1,1.7446093369720506e-05
GPC5,1.7074461704367236e-05
ITGA5,1.611223872262756e-05
KLRB1,1.4429059351260746e-05
DDAH1,1.4025348886951334e-05
CD200R1,1.3811974990581286e-05
SEMA4D,1.3571835030594175e-05
KITLG,1.3526342673468591e-05
FMNL1,8.917163780636256e-06
KRT19,7.716468184502135e-06
PQBP1,7.535704574949284e-06
CD207,6.938111839887367e-06
ENG,6.894454790554721e-06
PXN,5.367114438061737e-06
COL1A1,4.030093098981755e-06
CNTN2,3.9615613710704825e-06
ICOSLG,3.053161901241045e-06
GFRA2,2.315626496940675e-06
PROC,2.0678125141736657e-06
LAMP2,1.9330651649311925e-06
CA11,1.6771578868330342e-06
FABP5,1.6037439695549338e-06
TMSB10,9.73445782360823e-07
TREML2,9.349483940940347e-07
ITGA11,8.532159118919012e-07
VWA1,6.865013707643035e-07
VSIG4,6.779271733490661e-07
CD34,4.6817147089946437e-07
SELPLG,3.989297435290792e-07
L1CAM,3.572077085200513e-07
BCAN,3.2439699757547464e-07
ROBO2,2.919998452576103e-07
TYRO3,1.998241729286569e-07
PODXL,1.817404476207021e-07
CNTNAP2,1.135859392960736e-07
IDS,9.0162509290256e-08
TIE1,8.81228041959212e-08
PTPRM,8.519928636426477e-08
CAPG,8.417885239238359e-08
NADK,7.505981410960968e-08
KLK8,7.49767626901244e-08
DBI,7.406336401800087e-08
DSG4,6.485925911519999e-08
LPL,4.655499885541079e-08
NMNAT1,4.4373410536927324e-08
ADAMTS13,3.739971389548108e-08
CD244,3.331933095193992e-08
SFTPA1,2.9301649098884883e-08
NBN,1.084747575463784e-08
FCRL1,8.863083395448149e-09
ASAH2,1.2570727988845843e-09
