Feature,Importance
AREG,0.0020018578579765745
CCL20,0.0018096198145940434
TNFRSF10B,0.0015534590083916555
CHI3L1,0.0013421947433016612
DPY30,0.0012233259408276353
MMP8,0.0012031987012051104
IL6,0.0011496698631248137
NCF2,0.0011439114314271137
CKAP4,0.0011341300692038203
HSPA1A,0.0009717423668007541
POLR2F,0.0009677785687927098
TNFRSF1A,0.0007795602496116771
AGR2,0.000708361154238446
TRIAP1,0.0006512511708933744
MAPK9,0.0006117015655036084
LGALS9,0.0005958151814411394
FASLG,0.000578749720034466
TNFRSF10A,0.0005727336113068304
TNFSF10,0.0005454107335935987
CXCL8,0.0005394600808585892
LBR,0.000503091386349297
ELOA,0.0004949212902829458
BRK1,0.0004596016069342568
JUN,0.0004466153671955908
CASP1,0.000438827668972408
CLEC5A,0.00041462695799054927
NPM1,0.0003693773871873418
FKBP5,0.0003464523666707464
SDC1,0.00033825052298652736
TNFRSF6B,0.0003321708801422574
CCL16,0.0003048794802680277
CSTB,0.00029557935670254665
S100A11,0.00029306944873042085
CD300E,0.00028195580262035946
IL7R,0.0002580630964530428
MAD1L1,0.00023726982203697844
CD8A,0.00023531192107384413
TNFSF12,0.00023152165306328243
GBP2,0.00022314347010876645
CCL7,0.00022047463220076224
SRP14,0.0002191093260717203
IL1RAP,0.00021622362726247957
CLEC4C,0.00021440830067831484
IL1RN,0.00020519404499808047
HAVCR2,0.0002013492198784661
LTA,0.00019810060865665946
CD22,0.0001977180761514319
MNDA,0.00019200004916797297
ITGB1,0.00018873548572173604
OMG,0.00018459361564282517
ERBB2,0.00018126919610494951
GDF15,0.00016560587135927562
PTPRS,0.0001410781321169452
APBB1IP,0.00013924698572509442
CXCL13,0.00013777914432466787
KDR,0.00013149381533139604
DDAH1,0.00013095687961595104
DNER,0.00012151036077057142
RRM2,0.00011672682705565762
CRH,0.00011583362953615506
NOTCH1,0.0001132466222770745
AMIGO2,0.00011245480095567473
MASP1,0.00010885176078545555
DCTN2,0.00010132675726026719
CTSV,0.00010130676173503161
CD28,9.373155367597974e-05
LGALS1,9.240745259830874e-05
FCN2,8.330072597573235e-05
FBP1,8.317731439078102e-05
FLT3,8.196740296284588e-05
KEL,8.1604559227344e-05
FMNL1,7.887773516301877e-05
CLSTN1,7.76008952527718e-05
ITGB7,7.658023960743776e-05
KRT18,7.518793211147567e-05
KIT,6.805327433312414e-05
IL4,6.632741720125068e-05
GPC5,6.44730291412543e-05
KLRB1,6.380830251373482e-05
TNFSF11,6.267120426173278e-05
CDH5,5.770405860516803e-05
ITGA5,5.574711019562528e-05
EZR,5.1744297753231194e-05
CR2,4.7415539981443544e-05
ING1,4.178237585961142e-05
CD200R1,4.1739858573919264e-05
F7,4.1629226672057484e-05
ZBTB17,4.128089157973136e-05
KRT19,3.852222620892576e-05
CTSF,3.815869024492713e-05
PDGFRB,3.194395857519794e-05
EGLN1,2.7200367597401964e-05
NTF4,2.574821116807513e-05
CD1C,2.5658364350533702e-05
IL2RB,2.4701513907210426e-05
SEMA4D,2.4313411998377887e-05
COL9A1,2.3535900886884065e-05
ENG,2.233238235760382e-05
PSIP1,2.119970656622172e-05
KITLG,2.055281833435174e-05
FABP5,1.8253758234720863e-05
CD207,1.5975035623227996e-05
PQBP1,1.266481661055252e-05
LAMP2,1.20993824452853e-05
CNTN2,1.0493712224501905e-05
PXN,9.772969589150193e-06
TMSB10,7.696199123330416e-06
CA11,6.852438200866118e-06
COL1A1,6.064845518238826e-06
PROC,5.648328532004143e-06
TREML2,5.617743262575914e-06
GFRA2,5.50082709693811e-06
ICOSLG,3.914564691953615e-06
ITGA11,3.41460558850315e-06
VWA1,1.8846925664561809e-06
VSIG4,1.1414491827288487e-06
BCAN,8.704798259984159e-07
CD34,6.833832482122659e-07
SELPLG,6.517084467638767e-07
DBI,6.05012048016107e-07
L1CAM,5.837909954342635e-07
TYRO3,4.1907900105719875e-07
ROBO2,3.870923434012852e-07
TIE1,3.738149183529771e-07
LPL,2.3665241938308768e-07
CAPG,2.2828725465551258e-07
PODXL,2.233634143200547e-07
PTPRM,2.1034354213966822e-07
NADK,1.97893294778817e-07
KLK8,1.8363714754388027e-07
CNTNAP2,1.8048497762990223e-07
ADAMTS13,1.5368149691719069e-07
CD244,1.487805280642185e-07
DSG4,1.1539975306590344e-07
NMNAT1,9.468289804623331e-08
IDS,9.465164050453945e-08
FCRL1,3.624918848421643e-08
NBN,3.2165286788232716e-08
SFTPA1,2.2012179126578896e-08
ASAH2,4.470962500831982e-09
