Feature,Importance
POLR2F,0.04647263981228713
CCL22,0.040436135435465904
DDAH1,0.013899313672866807
FKBP5,0.012438197567632796
MSR1,0.012347686763283034
SERPINB8,0.011556559423658247
NCF2,0.010507461902244598
KRT18,0.010069106822493264
MAPK9,0.010029914738180237
MASP1,0.009079962571070885
LBR,0.008763912976799406
FMNL1,0.008500733254775036
GPNMB,0.008166902995885085
CST7,0.007298043687221342
KLK8,0.006474821009633478
GFRA2,0.005891368171747905
CD207,0.00587581057223687
ICOSLG,0.005847345031242331
ASAH2,0.005805519738722082
F7,0.005405792813302845
TNFSF10,0.004821015726629456
TSHB,0.004498009830203247
DCTN2,0.004373815377289768
KLK6,0.004275505856008546
IL7R,0.003912746143313455
APBB1IP,0.0036882253164672854
S100A11,0.003667618585151336
EZR,0.0035728235236683952
SLITRK6,0.00347165391365475
PTPRS,0.003465648168029678
JUN,0.003357938399403756
VIM,0.003194512343479035
BCL2L11,0.003157853873486435
PXN,0.0031479693295085056
SIGLEC6,0.0030582932562946636
PLAT,0.0030330484890124226
PON3,0.0028659588930821283
ACAA1,0.0026749242766516907
DSG3,0.002629474097721477
ING1,0.002619032735109499
CDH17,0.002588275249894929
CASP1,0.00256376492020195
FLT3LG,0.0025031884532722847
EDAR,0.0022000432560611814
CHIT1,0.002173812196441839
ELOA,0.0021270744022515017
TIMP4,0.0020576122555908934
CTSH,0.002021153450168743
CR2,0.0019761265346478684
OLR1,0.001974588697241701
LIF,0.0019144789298966942
PTX3,0.0018731469075728374
ANG,0.0018383289806946537
IL4,0.001749998846162833
ISLR2,0.0016449215287390225
CXCL9,0.001547828693411865
IL16,0.0015458831007639738
AGR2,0.0015395297089178118
SLIT2,0.0015356268007819674
CLTA,0.0015343144795586681
CCL20,0.0014680273652610506
FCAR,0.0014569114352833718
CD28,0.00137096576946234
ATP6V1D,0.0013642373210426926
MSLN,0.0013631178232723941
CDH5,0.0013528479326816887
TNXB,0.0013525964386386933
TNFRSF1A,0.0013309660714521186
HGF,0.0012956533273079866
CD300C,0.001295043695837761
KITLG,0.0012607269081045262
DPEP1,0.0012108049437349463
CTSF,0.0011650740676452248
FASLG,0.0011088568742447602
BTN3A2,0.001089393777935795
CRNN,0.0010855590941490018
ROR1,0.0010740677240742257
CHL1,0.0010419509432573024
CD58,0.0010017709629152646
S100P,0.0009716732241785768
PRTN3,0.0009376341518436501
LGALS9,0.0009326553854963714
PROC,0.0009279039447649092
CCL3,0.0009053474900878047
FABP5,0.0008613192156615935
LAMP2,0.0008360710313745736
KLRB1,0.0008128017108636764
CXCL10,0.0008103295578194276
COL1A1,0.0008021197191309456
IL1RAP,0.0007971056934817084
ACAN,0.0007845220351258274
CD200,0.0007806173737668738
LYN,0.0007594592301917308
PARP1,0.0007569075178706879
ROBO1,0.0006979780059963739
PTEN,0.0006881069515117825
NINJ1,0.0006611899021686277
DSG4,0.0006581483255366934
BMP4,0.0006497177595415631
CNTN4,0.0005751256998972666
CSF1,0.0005611680218248814
OMG,0.0005510893027328561
SDC1,0.0005458208750157361
LSP1,0.000538431151040067
IL1R1,0.0005294142072573867
VWA1,0.000507297372577517
MSTN,0.0004620797996223526
PLA2G2A,0.0004390436829932511
BMP6,0.00041616999930659486
CCL28,0.0004131833350094225
ERP44,0.0003916006739196163
FCRL3,0.00035268169560597043
CDH2,0.0003092046095332082
RRM2,0.0
ROBO2,0.0
C4BPB,0.0
RNASE3,0.0
NDRG1,0.0
RETN,0.0
BRK1,0.0
NMNAT1,0.0
