Feature,Importance
POLR2F,0.04294904258507448
CCL22,0.037285456108327876
DDAH1,0.014602162780527915
FKBP5,0.012502327944471743
MSR1,0.011904088726001457
SERPINB8,0.01150883047243958
MAPK9,0.010569775696729247
KRT18,0.010211949833256708
MASP1,0.009533917552836085
FMNL1,0.009011780339411413
NCF2,0.008514431660465796
LBR,0.008365557549825663
GPNMB,0.007849999926898592
CST7,0.006696623651042427
ICOSLG,0.0061346622713294606
CD207,0.005923425919645323
KLK8,0.0052154467869246655
GFRA2,0.005080288604251592
TNFSF10,0.004863983506563061
ASAH2,0.004752400710864934
S100A11,0.00442293870552353
KLK6,0.004189159873675441
IL7R,0.004082823142518496
F7,0.004059974882933472
PTPRS,0.0039845801625560465
TSHB,0.003771375963835459
DCTN2,0.0036235484273784255
CASP1,0.003515635155417183
VIM,0.003461519814688261
EZR,0.0033117142140753567
APBB1IP,0.003281534243267919
PLAT,0.003257133677570436
PXN,0.0031658467722478502
SLITRK6,0.003160233262434849
ING1,0.0030239525671106487
JUN,0.002782048058470696
BCL2L11,0.0027425562991614024
PON3,0.002639616411510666
TNFRSF1A,0.0025753777942343677
SIGLEC6,0.002547188499805526
CDH17,0.0025427693181867246
DSG3,0.0022061783184188707
FCAR,0.002155203377571129
ELOA,0.0021382927092320958
IL16,0.0021173196341421705
FLT3LG,0.0020588188507259363
IL4,0.002046155970255142
EDAR,0.0019784662459082936
TIMP4,0.0019618698832469606
LIF,0.0019056322932371023
CHIT1,0.001891350417777386
CD300C,0.001814737150851523
KITLG,0.0017433930180607749
ISLR2,0.0017364441319320531
CR2,0.0017026953121995754
ATP6V1D,0.0016367604354418793
PTX3,0.0016303533905787648
CTSH,0.0016144779976683162
ACAA1,0.0016006103161744219
OLR1,0.001595110181767469
CDH5,0.0015245586311330838
CD28,0.00151306121282666
AGR2,0.0014605926220366203
DPEP1,0.0013406127046328693
ANG,0.0013187304378038086
MSLN,0.0012622854759836363
CLTA,0.0012545598965431975
CCL20,0.0012363256735211422
ACAN,0.0011498576620484569
BTN3A2,0.001142118258741272
HGF,0.0011059379160157528
CRNN,0.0010779365375831271
SLIT2,0.001068791685141
CTSF,0.0010360308703697232
CHL1,0.0010193298884436592
CD58,0.0010017595101048352
TNXB,0.0009794898723455726
CXCL9,0.000973413867252793
COL1A1,0.0009730231493560784
LAMP2,0.0009429260403244076
BMP4,0.0009342159241812919
LGALS9,0.0008932429639032979
FASLG,0.0008781888882092266
FABP5,0.0008662896214837245
ROR1,0.0008134152029198331
ROBO1,0.000782741917588994
SDC1,0.0007622146499041344
CCL3,0.0007436578767615763
CXCL10,0.0007366488451273291
MSTN,0.000714447049756072
CCL28,0.0006748454127121083
PRTN3,0.0006726456657880692
CSF1,0.0006693403886153633
CD200,0.0006483441603028207
KLRB1,0.0006244953777986474
S100P,0.000624254545650259
CDH2,0.0005975979052823318
DSG4,0.0005857088762570321
CNTN4,0.000536047095792696
LSP1,0.0005070087151326391
NINJ1,0.0005000514338812352
IL1R1,0.0004928393609598262
VWA1,0.0004750461287346534
OMG,0.00046691484372342367
BMP6,0.0004615148390227627
PROC,0.0004586001075436651
IL1RAP,0.000424048900598786
LYN,0.00041842682081396314
PLA2G2A,0.0003917753835879947
PTEN,0.00037955811875551833
PARP1,0.00037933049907687595
ERP44,0.0003199009565340699
FCRL3,0.000298717298061862
ROBO2,0.0
CCL7,0.0
RETN,0.0
RNASE3,0.0
CCL16,0.0
FSTL3,0.0
CASP8,0.0
CD200R1,0.0
RRM2,0.0
CALCA,0.0
C4BPB,0.0
SCARB2,0.0
BRK1,0.0
SELPLG,0.0
CD1C,0.0
CD22,0.0
PTPRM,0.0
SERPINB5,0.0
CD244,0.0
CD300E,0.0
CD34,0.0
PODXL,0.0
PLAUR,0.0
CD6,0.0
PADI2,0.0
OSM,0.0
CD8A,0.0
CDH6,0.0
NTRK2,0.0
NTF4,0.0
SEMA4D,0.0
SFRP1,0.0
BCAN,0.0
TRIM21,0.0
TNFRSF6B,0.0
APLP1,0.0
TNFSF11,0.0
AMIGO2,0.0
TREM2,0.0
TRIAP1,0.0
AGRN,0.0
TNFRSF10B,0.0
TYRO3,0.0
ADAMTS13,0.0
VSIG4,0.0
ADAM15,0.0
VWF,0.0
WFDC2,0.0
AREG,0.0
TNFRSF10A,0.0
NOTCH1,0.0
AZU1,0.0
SFTPA1,0.0
SFTPA2,0.0
SIGLEC10,0.0
BAX,0.0
SLAMF8,0.0
SLC39A14,0.0
ATOX1,0.0
TMSB10,0.0
SMAD5,0.0
SPINK5,0.0
SRP14,0.0
TIE1,0.0
TIMP1,0.0
ARHGAP1,0.0
NPM1,0.0
CEACAM8,0.0
NMNAT1,0.0
ITGA5,0.0
ENPP2,0.0
IL6,0.0
ENG,0.0
EGFR,0.0
EFNA1,0.0
ITGA11,0.0
ITGAV,0.0
CXCL8,0.0
ITGB1,0.0
ITGB2,0.0
ITGB7,0.0
DNER,0.0
KDR,0.0
KIT,0.0
IL3RA,0.0
IL1RN,0.0
EPCAM,0.0
ERBB2,0.0
IL17RA,0.0
IGFBP3,0.0
FCN2,0.0
HYAL1,0.0
HSPA1A,0.0
HAVCR2,0.0
GPR37,0.0
FGF21,0.0
GPC5,0.0
GFRA3,0.0
FLT3,0.0
GDF2,0.0
GDF15,0.0
DBI,0.0
CXCL13,0.0
GBP2,0.0
CKAP4,0.0
MET,0.0
MMP8,0.0
MNDA,0.0
MPIG6B,0.0
CLEC4C,0.0
CLEC11A,0.0
MZB1,0.0
CTSV,0.0
NADK,0.0
NAMPT,0.0
NCAM1,0.0
NCAM2,0.0
CHI3L1,0.0
NDRG1,0.0
