Feature,Importance
F3,0.057399553220275484
FLT3LG,0.042171189521648875
ATP6AP2,0.01890685457002879
KRT18,0.01683911302058155
BAG3,0.015465450983983295
CD1C,0.011198359998823675
SLAMF6,0.008693213343447984
CD4,0.008625178929216347
MARCO,0.00787730101608071
PLAT,0.006287680879345821
CD48,0.005169223575829952
S100A11,0.005096725952232168
TIMP1,0.004251395007355472
HEBP1,0.004175788600156987
FEN1,0.0037960740168866466
CD160,0.003792417261746318
AGER,0.0037323900012355814
RBKS,0.0037071201547792835
VEGFA,0.003366773314861604
MAPK9,0.003285973454059359
OLR1,0.0031359823942378375
JUN,0.003133504118419673
ADAM8,0.0026843026676709194
HGF,0.0021985346770279014
IL5RA,0.002155462327809283
ARHGAP1,0.0020084259868436436
LILRB4,0.0019542012926904995
CCL4,0.0019463851433388036
CD28,0.0018813710693658867
ITGB2,0.0018393249443717941
NCF2,0.0016382704912701574
CST7,0.0015763075589935315
CD6,0.0015718807212151923
SPP1,0.0015498205766061191
DOK2,0.0015092154376758064
NCR1,0.0014695917507869113
ENAH,0.0014658382223466152
FCER2,0.001411585211565559
ANXA4,0.0013833768597788815
NMNAT1,0.0013520925534072083
RNASE3,0.0013278304984564817
HCLS1,0.0013204626145489526
BLMH,0.0012790155361063938
FST,0.0012663048222076416
IL10RA,0.001239471572573256
INPPL1,0.001118552872786787
ALDH1A1,0.0010890079700623843
STX16,0.0010836526419417294
SERPINB8,0.0010804988163961946
TNFRSF10A,0.001065846155780296
TPT1,0.0010516793010482094
VAT1,0.0009706058178653882
THOP1,0.0009285644852195074
SUSD2,0.0009115987148255448
TGFA,0.0008884604497008932
MANF,0.0008671898957626804
S100A12,0.0008368317098545762
ANXA5,0.0008114721854970739
SORD,0.000805992319183379
SHMT1,0.0007892275142712777
CLTA,0.0007801088042238757
DCTN1,0.0007740269853753525
ERP44,0.0007597072563568687
CLEC5A,0.000756858546243465
TNFSF10,0.0007411282656267437
NFATC3,0.0007239655749044955
TNFRSF10B,0.0007066839384446441
BIRC2,0.0006954728415645875
CORO1A,0.0006747851391677324
ZBTB17,0.0006621710081626021
VCAN,0.0006583609567671101
PVR,0.0006581716059482317
MSR1,0.0006405928639261608
TNFRSF8,0.0006229029441080517
TREM2,0.00061649743235252
HSPB1,0.000600176409420853
S100P,0.0005964432126302205
SEMA4C,0.0005811303244264977
PADI2,0.0005734970841948014
SUGT1,0.0005712406475271953
IL15,0.000538663960770234
SPON1,0.0005386058273285739
STX4,0.000532030705683211
CSF1,0.0005318957207477525
IGFBP2,0.0005296154310145454
FBP1,0.000523375375940136
CD5,0.000510632341319198
TFPI,0.0004712170596155721
ARHGAP25,0.00045663371478804734
ITGB1BP1,0.0004534600378588477
LGALS3,0.00045050691974708095
ACTA2,0.00045040089926930626
LY9,0.0004495887842104699
TYMP,0.0004488546655007369
PTPN1,0.00043995817764950904
SNX9,0.0004363289653100692
SIGLEC9,0.0004357806406303178
ADA2,0.0004299950597071063
EIF5A,0.00042901219367891464
HYOU1,0.000417528517888988
NPM1,0.0004087501343687131
ICAM2,0.0004014304499812522
LAT2,0.00039147541059297923
LYAR,0.0003878514937426762
CXCL16,0.0003874863334385617
CD2AP,0.0003735089127432436
IL2RB,0.00035219179345190353
CDKN2D,0.00034835074501539636
FUS,0.0003442110446147363
TNFSF14,0.0003363354963479306
FCRL3,0.00032401226734351293
CLEC4A,0.00032073382155644746
PTEN,0.0003206916091262367
TNFRSF10C,0.00031632630474282014
ITGA5,0.0003154107587988638
MDK,0.00030259139438164177
CCL23,0.00029122090704962374
CEACAM21,0.00028446811281087226
DAB2,0.0002747410033136076
IL17RA,0.0002560290090946909
BID,0.00024728024128795826
ING1,0.00024238213613297373
ITGB7,0.00024150095185855743
MYO9B,0.00023088593793370047
CD63,0.0002127025966119509
FES,0.0002106872894501631
GRAP2,0.00020929274102449752
CD58,0.0002059769168472076
CCL7,0.00020147716127225882
