Feature,Importance
KRT18,0.12072643825415497
F3,0.0402044694724852
FLT3LG,0.030498236229282997
BAG3,0.02968283764470716
CD48,0.022996497483065842
S100A11,0.017500291035127215
ATP6AP2,0.017466919088770495
SLAMF6,0.010565615103499787
CD1C,0.009775395861332557
JUN,0.009185622636186528
CD28,0.008705824473146412
CD4,0.007670373549702915
VCAN,0.007209175600217287
MARCO,0.006559028546746223
HEBP1,0.0063043624508434095
PLAT,0.006147456884233002
ENAH,0.005710327173622527
VEGFA,0.00514278887274388
RBKS,0.004964813403890494
IL5RA,0.004556373083680895
DCTN1,0.004500561236983723
MDK,0.00418549512974636
FST,0.004103443659701125
STX16,0.003785580872212841
FEN1,0.003771946586194658
ZBTB17,0.0037243692719560323
AGER,0.0035710571855710645
TNFRSF10B,0.003483103551753108
HGF,0.0032955569293627407
TFPI,0.003291925477122777
LY9,0.003288694478307569
SPP1,0.0032624112474288727
SPON1,0.0032608254073330364
NCF2,0.003109709079368783
CD160,0.0030745991736615746
ANXA4,0.0029968240959347735
IL10RA,0.002809255176444481
ADA2,0.0027902617835955787
MAPK9,0.002761137513500301
FCAR,0.0023842878120188017
CSF1,0.0023494805455133534
IGFBP2,0.0023308900556601
TIMP1,0.002273069111097585
PVR,0.0022110999470206965
ITGB2,0.0020572815918776686
ITGA5,0.0020440769783206655
NPM1,0.0020201080418297377
SIGLEC9,0.0020172166060018776
OLR1,0.0020131371086634904
CCL23,0.0019623440635746976
CD63,0.00194071335443065
BIRC2,0.0019046231655460962
ALDH1A1,0.0019040543150871383
FCER2,0.0018343335037338071
CLTA,0.0016808057727386845
TGFA,0.0016751123387632296
ICAM2,0.0016485168963345739
CD2AP,0.0016271125357617917
SEMA4C,0.00162438246227594
ARHGAP1,0.0016126414207165759
CCL4,0.0015976137351843898
NMNAT1,0.001581197445740731
DOK2,0.0015650517039452996
LAT2,0.0015518455692314945
CST7,0.0015298201391968137
ITGB7,0.0014557661174939276
PADI2,0.0014454356105088248
MSR1,0.0014089252112375868
PTEN,0.0013322853768149795
ADAM8,0.0013133678908626414
TNFRSF10C,0.0012770754295254629
ING1,0.0012478185358136065
IL18R1,0.001229546920531989
DAG1,0.0012213643313926576
ARHGAP25,0.0011778363195614138
NFATC3,0.0011542575546951502
RNASE3,0.0011539184778346753
SUSD2,0.0010929092893143541
TREM2,0.0010830207421867032
CD6,0.001081656511392806
IL2RB,0.0010794514963349917
THOP1,0.001065297314228962
ITGB1BP1,0.0010504944215075
SUGT1,0.0010389604026363685
S100A12,0.0010386154883181766
ANXA5,0.001003711021847414
NCR1,0.0009837792173640883
SERPINB8,0.0009552022661369427
INPPL1,0.0009540553297740082
HCLS1,0.0009320074623665589
EPHB4,0.0009074353478397427
BLMH,0.0009026311078256953
CLEC5A,0.0008824864850540835
LAMP2,0.0008429469724400057
SORD,0.0008240984255775145
TNFSF10,0.0008234889904528383
LILRB4,0.0008040741910744012
VAT1,0.0007973814458412194
TPT1,0.0007877012509293659
MYO9B,0.0007764341829557297
IL6,0.0007689160536060015
PSMA1,0.0007571156350745732
SNAP23,0.0007563720873549891
TNFRSF12A,0.0007159725256202711
ERP44,0.0007099229786720366
PTPN1,0.0007046138606906682
CDKN2D,0.0006950901757522804
LGALS1,0.0006844743431756763
MANF,0.0006690933908310454
LRP1,0.0006618342520690397
BID,0.0006599251901772302
CORO1A,0.0006559510968343711
LYN,0.0006300857158340253
GRAP2,0.0006255789703607231
ACTA2,0.0006203389865879912
CNTNAP2,0.0006191038692539728
GOPC,0.0006118440098909105
SH2D1A,0.0006013981967914876
SHMT1,0.0005996590473555457
DAB2,0.0005902675693472265
FSTL3,0.000584207629209626
TYMP,0.0005648904734405154
SLC39A14,0.0005520492999785417
TNFRSF8,0.0005497088969436572
LGALS3,0.0005444062461715779
S100P,0.0005286957963879642
KLRB1,0.000517875197149667
HSPB1,0.0005000760037787593
CD70,0.0004994848969909149
TANK,0.0004544125812189152
HYOU1,0.0004514040924735551
IL15,0.00044712503931385755
ENO1,0.0004470156056412269
VWF,0.0004422596862924208
TNFRSF10A,0.0004239303852732647
MFGE8,0.00041876488795334314
PPP1R12A,0.00041618227930364404
EIF5A,0.0004153336197925172
STX4,0.00040694593167714865
FUS,0.00040186144846488393
FBP1,0.0003967902252051699
LYAR,0.0003705527827240656
CD58,0.00033432847720785987
NINJ1,0.00033230545565484325
CXCL16,0.0003307771967298922
CD5,0.000329549816342536
CXCL10,0.0003266893860461342
FCRL3,0.00032438091724748834
CCL7,0.0003080781457080002
FES,0.000307429190815062
CLEC4A,0.00030535654284676733
PTX3,0.00030451176656769716
PRTN3,0.0003022350853898528
KIR2DL3,0.0002816334479336562
CLEC11A,0.00027576667110488275
TNFSF14,0.0002741774518862259
SNX9,0.0002663614434476226
CCL20,0.0002515924326964461
GPC1,0.0002460994517378773
CD83,0.00023419505688741966
EFNA1,0.00023327635054942744
IL17RA,0.00021247705055362883
MERTK,0.000211219616686334
ACTN4,0.00020237768759846268
CEACAM21,0.00019710749907010883
DUSP3,0.00019618789985821294
PPCDC,0.00019228430511825272
MSLN,0.00017707097305536145
CXCL8,0.00014893436938826282
PRDX5,0.00011039263153325987
LY96,8.318953071323984e-05
SNAP29,7.721612885073953e-05
NCAM1,7.09296840538663e-05
GLB1,4.749514873035859e-05
COL6A3,3.615905473707191e-05
FCGR2B,0.0
CD27,0.0
CD22,0.0
CD59,0.0
