"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"231","SIGLEC9_TF","Severe","NonSevere",1.5856691620862,0.173682009826126,0.946286301721922,0.996167113836719,1.41198715226008,2.77150850752019e-242,1.10860340300808e-241,33.2408101006239
"159","LGALS9_TF","Severe","NonSevere",1.91849040191369,0.613324278834136,0.949370341814444,1,1.30516612307955,2.96689776092039e-150,7.55210339143371e-150,26.1078822081736
"102","FES_TF","Severe","NonSevere",2.82708493960422,1.63471558948753,0.907735800565407,0.988501341510157,1.19236935011668,1.06859520886194e-49,1.62612314392035e-49,14.8211992178839
"148","JUN_TF","Severe","NonSevere",1.55335606109867,0.386730698411983,1,1,1.16662536268669,5.96683899764515e-137,1.40396211709298e-136,24.9088466519543
"249","SULT1A1_TF","Severe","NonSevere",2.479968017362,1.54122424455886,0.929324081213056,0.986201609812189,0.938743772803148,2.30060210856726e-39,3.30342866871197e-39,13.127181737992
"182","NADK_TF","Severe","NonSevere",2.06031756673706,1.1224010204274,0.936263171421229,0.998850134151016,0.937916546309665,5.72320965414204e-61,9.42646295976335e-61,16.4731288651893
"53","CECR1_TF","Severe","NonSevere",1.58977797146146,0.880688641880669,0.965818555641223,1,0.709089329580786,4.65074181900754e-68,8.18998559322083e-68,17.4328053136483
"65","CPVL_TF","Severe","NonSevere",1.29851381171404,0.610289656682911,0.976612695965048,1,0.688224155031124,2.8685018168913e-103,5.90573903477621e-103,21.578362127417
"93","FBP1_TF","Severe","NonSevere",1.26023782211608,0.581306211949691,0.96556155230018,0.996933691069375,0.678931610166387,6.2086230127497e-91,1.19069482436296e-90,20.2224769869476
"116","HCLS1_TF","Severe","NonSevere",1.13821786540368,0.521517531815381,1,1,0.616700333588298,1.09896337896424e-191,3.30870694741921e-191,29.5325906869564
"119","HMOX1_TF","Severe","NonSevere",1.3820938763113,0.845867982068759,0.93189411462349,0.992717516289766,0.536225894242542,3.1530321088965e-43,4.67115867984666e-43,13.7846474325779
"233","SKAP2_TF","Severe","NonSevere",2.04266255461321,1.51091363902282,0.962734515548702,0.987351475661173,0.531748915590394,4.05894592941171e-19,5.09643435083084e-19,8.9353491041014
"112","GLB1_TF","Severe","NonSevere",1.25986991677046,0.748888683293462,0.964019532253919,0.993484093522422,0.510981233476994,2.59272064324276e-49,3.92411773031337e-49,14.7615451254348
"160","LILRB4_TF","Severe","NonSevere",1.50975856803786,1.01247751864847,0.985350809560524,0.996933691069375,0.49728104938939,1.15323993381287e-32,1.57515698276879e-32,11.9021592856194
"137","IL8_TF","Severe","NonSevere",2.32236785744881,1.8315116110017,0.899254690310974,0.997700268302031,0.490856246447109,2.50529264703485e-12,2.99778607337504e-12,7.00300534838642
"179","MYO9B_TF","Severe","NonSevere",0.730217389377786,0.248805588066008,1,1,0.481411801311778,5.59961561452252e-308,2.85071340375692e-307,37.513259403292
"142","ITGA5_TF","Severe","NonSevere",0.581765612952968,0.105572800544162,0.975070675918787,1,0.476192812408807,1.94465282086089e-232,6.89244037773481e-232,32.5522680691166
"183","NAMPT_TF","Severe","NonSevere",1.19620981263233,0.731249545940773,0.99177589308661,1,0.464960266691553,1.91657792151712e-53,2.99799898337873e-53,15.3897884725352
"165","LY9_TF","Severe","NonSevere",0.497363623866645,0.0416375442472888,1,1,0.455726079619356,2.2250738585072e-308,0,37.5378360955761
"205","PPP1R12A_TF","Severe","NonSevere",0.634194578681857,0.183133349199783,1,1,0.451061229482074,2.2250738585072e-308,0,37.5378360955761
"226","SERPINB8_TF","Severe","NonSevere",0.522017530908753,0.085110358294782,0.98200976612696,0.999616711383672,0.436907172613971,2.94206618705659e-236,1.08391912154717e-235,32.8211267294003
"56","CLEC4A_TF","Severe","NonSevere",0.567130784464904,0.136767524181002,0.978925726034438,1,0.430363260283902,1.08605548498739e-191,3.30538625865728e-191,29.5329902950201
"39","CD48_TF","Severe","NonSevere",0.635076576623299,0.21395858517361,1,1,0.421117991449689,2.2250738585072e-308,0,37.5378360955761
