"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"5770","HBB","Severe","NonSevere",45.9139038807504,1.96512073591414,0.169622205088666,0.0620927558451514,43.9487831448363,2.85186491086623e-43,2.31485874815012e-40,13.7918906548707
"5769","HBA2","Severe","NonSevere",6.34387047031611,0.290532771176696,0.104857363145721,0.0164814105021081,6.05333769913942,8.98167137031262e-42,6.07535220940229e-39,13.5407908462238
"6109","HSP90B1","Severe","NonSevere",3.62991518889746,1.66347259486393,0.571575430480596,0.504024530471445,1.96644259403352,1.32595717764544e-27,3.57397971078513e-25,10.8872415575275
"5768","HBA1","Severe","NonSevere",2.00077101002313,0.0919892679187428,0.0822410691338987,0.00958221540820238,1.90878174210439,2.01885894742361e-39,1.09247187174916e-36,13.1370730279677
"3485","DEFA1B","Severe","NonSevere",2.47879722436392,0.616328095055577,0.04266255461321,0.00306630893062476,1.86246912930834,0.000922284653113071,0.00882804779400802,3.31321980868512
"5771","HBD","Severe","NonSevere",1.63377023901311,0.04024530471445,0.0824980724749422,0.00689919509390571,1.59352493429866,4.08654728249686e-41,2.65364034336216e-38,13.4290436720923
"11726","RPS6","Severe","NonSevere",4.15728604471858,3.34342660022997,0.85556412233359,0.875814488309697,0.813859444488608,6.67734794620263e-25,1.44533422078205e-22,10.3051700496093
"6120","HSPA5","Severe","NonSevere",1.9922898997687,1.36527405136067,0.572860447185813,0.541970103487926,0.627015848408023,1.60919987694747e-14,1.16105559121623e-12,7.67853357291167
"11655","RPL3","Severe","NonSevere",3.14160884091493,2.57148332694519,0.81290156772038,0.802989651207359,0.570125513969742,4.84856090060899e-19,5.66270055111413e-17,8.91567443849803
"11725","RPS5","Severe","NonSevere",1.68157286044719,1.14564967420468,0.655358519660756,0.560751245688003,0.53592318624251,1.46670576650191e-40,8.81870422718225e-38,13.334070913998
