id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
A1BG-AS1.TF,29,54,-28.6683065,28.6683065,4.56E-157,4.56E-157,-13.33764255,13.33764255,-0.242938917,-0.180728436,-0.062210481,0.062210481
A1BG.TF,5,38,97.87964079,-97.87964079,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.066527445,-0.138799687,1.205327132,-1.205327132
A2M-AS1.TF,35,55,-22.75815496,22.75815496,2.51E-104,2.51E-104,-10.82942127,10.82942127,-0.24288027,-0.196060316,-0.046819954,0.046819954
A2M.TF,28,61,-38.36819603,38.36819603,1.35E-252,1.35E-252,-16.96329175,16.96329175,-0.245117479,-0.159438397,-0.085679082,0.085679082
AAAS.TF,NA,52,NA,NA,NA,NA,NA,NA,NA,-0.179887023,NA,NA
AACS.TF,33,48,-36.23136505,36.23136505,1.01E-221,1.01E-221,-15.88211454,15.88211454,-0.244341086,-0.147384476,-0.09695661,0.09695661
AAED1.TF,NA,49,NA,NA,NA,NA,NA,NA,NA,-0.149546464,NA,NA
AAGAB.TF,NA,58,NA,NA,NA,NA,NA,NA,NA,-0.161413591,NA,NA
AAK1.TF,12,12,27.77380678,-27.77380678,3.38E-149,3.38E-149,12.99401933,-12.99401933,1.117679263,0.704337605,0.413341658,-0.413341658
AAMDC.TF,10,54,-40.66366969,40.66366969,3.30E-278,3.30E-278,-17.81055864,17.81055864,-0.269590407,-0.175957351,-0.093633056,0.093633056
AAMP.TF,3,11,45.69142808,-45.69142808,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.759841312,0.031822887,0.728018426,-0.728018426
AANAT.TF,26,NA,NA,NA,NA,NA,NA,NA,-0.243092848,NA,NA,NA
AAR2.TF,2,50,-17.2714949,17.2714949,2.02E-65,2.02E-65,-8.520803778,8.520803778,-0.227509597,-0.144218925,-0.083290672,0.083290672
AARS.TF,5,47,-33.07380199,33.07380199,1.51E-209,1.51E-209,-15.43503742,15.43503742,-0.255050635,-0.148792837,-0.106257798,0.106257798
AARS2.TF,29,49,-36.82109059,36.82109059,1.58E-231,1.58E-231,-16.23327949,16.23327949,-0.25534554,-0.171942112,-0.083403427,0.083403427
AARSD1.TF,31,54,-36.98092966,36.98092966,6.87E-233,6.87E-233,-16.28145601,16.28145601,-0.253636731,-0.168761292,-0.08487544,0.08487544
AASDH.TF,11,56,-33.43714114,33.43714114,2.28E-207,2.28E-207,-15.35363894,15.35363894,-0.264465416,-0.191657486,-0.072807931,0.072807931
AASDHPPT.TF,NA,26,NA,NA,NA,NA,NA,NA,NA,-0.058771479,NA,NA
AASS.TF,38,41,-18.78619703,18.78619703,2.79E-73,2.79E-73,-9.034516401,9.034516401,-0.232254132,-0.187385618,-0.044868514,0.044868514
AATBC.TF,34,61,-36.03167439,36.03167439,3.13E-228,3.13E-228,-16.11606951,16.11606951,-0.240027372,-0.156990219,-0.083037153,0.083037153
AATF.TF,5,6,45.11712985,-45.11712985,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.326009695,0.428658716,0.897350979,-0.897350979
AATK.TF,36,56,-34.20975388,34.20975388,7.31E-205,7.31E-205,-15.25946118,15.25946118,-0.246779145,-0.168176725,-0.078602421,0.078602421
ABALON.TF,27,51,-19.81941719,19.81941719,1.02E-81,1.02E-81,-9.555516174,9.555516174,-0.244278589,-0.203077253,-0.041201336,0.041201336
ABAT.TF,29,65,-31.9127949,31.9127949,1.35E-188,1.35E-188,-14.6336252,14.6336252,-0.248167429,-0.181450768,-0.066716662,0.066716662
ABCA1.TF,27,53,-30.86373346,30.86373346,3.61E-176,3.61E-176,-14.13698477,14.13698477,-0.25442541,-0.188167607,-0.066257803,0.066257803
ABCA10.TF,29,NA,NA,NA,NA,NA,NA,NA,-0.233468692,NA,NA,NA
ABCA2.TF,31,59,-36.37041819,36.37041819,1.13E-228,1.13E-228,-16.13187482,16.13187482,-0.253928955,-0.176401574,-0.077527381,0.077527381
ABCA3.TF,41,69,-31.95816888,31.95816888,1.31E-186,1.31E-186,-14.55541233,14.55541233,-0.25378991,-0.194162735,-0.059627175,0.059627175
ABCA5.TF,30,68,-27.8918213,27.8918213,6.32E-152,6.32E-152,-13.11416186,13.11416186,-0.243693472,-0.188546092,-0.055147379,0.055147379
ABCA7.TF,4,58,12.05636174,-12.05636174,4.14E-33,4.14E-33,5.964882397,-5.964882397,-0.100941494,-0.168873417,0.067931923,-0.067931923
ABCB1.TF,29,47,-27.00675481,27.00675481,8.59E-141,8.59E-141,-12.61675548,12.61675548,-0.239873113,-0.17687646,-0.062996653,0.062996653
ABCB10.TF,30,53,-22.41044739,22.41044739,4.28E-102,4.28E-102,-10.71038321,10.71038321,-0.238416759,-0.190862571,-0.047554189,0.047554189
ABCB4.TF,31,52,-39.21780629,39.21780629,8.61E-252,8.61E-252,-16.93599896,16.93599896,-0.262271225,-0.175605437,-0.086665788,0.086665788
ABCB6.TF,27,50,-29.66025044,29.66025044,1.05E-165,1.05E-165,-13.70494035,13.70494035,-0.236621674,-0.16451501,-0.072106663,0.072106663
ABCB7.TF,2,63,-7.662463544,7.662463544,2.09E-14,2.09E-14,-3.777494797,3.777494797,-0.225510592,-0.189056037,-0.036454555,0.036454555
ABCB8.TF,12,57,-53.48351442,53.48351442,0.00E+00,0.00E+00,-18.75968967,18.75968967,-0.272490781,-0.135025032,-0.137465748,0.137465748
ABCB9.TF,37,64,-31.38077069,31.38077069,1.68E-181,1.68E-181,-14.35222125,14.35222125,-0.235868427,-0.166844077,-0.06902435,0.06902435
