id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
A1BG,4.410012307,-4.410012307,1.07E-05,1.07E-05,2.124601375,-2.124601375,0.100795487,0.070112796,0.030682692,-0.030682692
A1BG-AS1,1.563686121,-1.563686121,0.117997296,0.117997296,0.592528902,-0.592528902,0.009567156,0.006380053,0.003187103,-0.003187103
A2M,NA,NA,NA,NA,NA,NA,0,0,0,0
A2M-AS1,0.438783639,-0.438783639,0.660855444,0.660855444,0.207399459,-0.207399459,0.007545926,0.006646631,0.000899295,-0.000899295
AAAS,0.190523068,-0.190523068,0.848914822,0.848914822,0.515895158,-0.515895158,0.028645542,0.02787624,0.000769302,-0.000769302
AACS,1.047856756,-1.047856756,0.294794119,0.294794119,0.269716411,-0.269716411,0.007950172,0.005924335,0.002025837,-0.002025837
AAED1,2.705747053,-2.705747053,0.006856758,0.006856758,1.232340656,-1.232340656,0.053912235,0.040447206,0.01346503,-0.01346503
AAGAB,0.966880291,-0.966880291,0.333694006,0.333694006,0.214867781,-0.214867781,0.052824115,0.047738695,0.00508542,-0.00508542
AAK1,7.444951881,-7.444951881,1.28E-13,1.28E-13,3.657647813,-3.657647813,0.244741316,0.167078582,0.077662734,-0.077662734
AAMDC,1.315852985,-1.315852985,0.188335197,0.188335197,0.442023914,-0.442023914,0.025973466,0.021229609,0.004743856,-0.004743856
AAMP,1.780157985,-1.780157985,0.075166966,0.075166966,0.71917648,-0.71917648,0.093053399,0.080714181,0.012339218,-0.012339218
AANAT,NA,NA,NA,NA,NA,NA,0,0,0,0
AAR2,0.939120845,-0.939120845,0.34775439,0.34775439,0.195695138,-0.195695138,0.040775557,0.036457445,0.004318112,-0.004318112
AARS,2.60043728,-2.60043728,0.009356578,0.009356578,1.17559817,-1.17559817,0.025276825,0.016672428,0.008604397,-0.008604397
AARS2,0.790830565,-0.790830565,0.429111486,0.429111486,0.089318352,-0.089318352,0.007950172,0.006380053,0.001570119,-0.001570119
AARSD1,NA,NA,NA,NA,NA,NA,0,0,0,0
AASDH,0.835679253,-0.835679253,0.40341108,0.40341108,0.122263844,-0.122263844,0.022762395,0.019862455,0.00289994,-0.00289994
AASDHPPT,2.457590803,-2.457590803,0.014049787,0.014049787,1.097946699,-1.097946699,0.067415269,0.053138783,0.014276486,-0.014276486
AASS,NA,NA,NA,NA,NA,NA,0,0,0,0
AATBC,2.878425134,-2.878425134,0.004021079,0.004021079,1.325147365,-1.325147365,0.011857883,0.005924335,0.005933548,-0.005933548
AATF,2.006744057,-2.006744057,0.04488142,0.04488142,0.84832503,-0.84832503,0.128090875,0.111746183,0.016344692,-0.016344692
AATK,NA,NA,NA,NA,NA,NA,0,0,0,0
ABALON,NA,NA,NA,NA,NA,NA,0,0,0,0
ABAT,NA,NA,NA,NA,NA,NA,0,0,0,0
ABCA1,2.815974759,-2.815974759,0.004893647,0.004893647,1.29162752,-1.29162752,0.026232831,0.016861568,0.009371263,-0.009371263
ABCA10,NA,NA,NA,NA,NA,NA,0,0,0,0
ABCA2,1.463590598,-1.463590598,0.1434179,0.1434179,0.532544341,-0.532544341,0.019505529,0.015038696,0.004466833,-0.004466833
ABCA3,NA,NA,NA,NA,NA,NA,0,0,0,0
ABCA5,0.138635432,-0.138635432,0.889749096,0.889749096,0.612597433,-0.612597433,0.015913109,0.015494414,0.000418695,-0.000418695
ABCA7,2.208407522,-2.208407522,0.02729614,0.02729614,0.961053565,-0.961053565,0.04524516,0.035090291,0.010154869,-0.010154869
ABCB1,1.35126558,-1.35126558,0.176720063,0.176720063,0.463968619,-0.463968619,0.016035092,0.012304388,0.003730704,-0.003730704
ABCB10,1.247533049,-1.247533049,0.212304479,0.212304479,0.399225379,-0.399225379,0.009971402,0.007291489,0.002679913,-0.002679913
ABCB4,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000134749,0,0.000134749,-0.000134749
ABCB6,NA,NA,NA,NA,NA,NA,0,0,0,0
ABCB7,0.490470416,-0.490470416,0.623842998,0.623842998,0.157794819,-0.157794819,0.036923771,0.034712011,0.00221176,-0.00221176
ABCB8,0.988178277,-0.988178277,0.323155947,0.323155947,0.229445882,-0.229445882,0.026242963,0.022596763,0.0036462,-0.0036462
ABCB9,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000213572,0,0.000213572,-0.000213572
ABCC1,-1.016233985,1.016233985,0.309624809,0.309624809,-0.248457057,0.248457057,0.026275991,0.030533111,-0.004257119,0.004257119
ABCC10,2.38323132,-2.38323132,0.01722235,0.01722235,1.057413469,-1.057413469,0.019640278,0.012760106,0.006880172,-0.006880172
ABCC11,1.414351072,-1.414351072,0.157319383,0.157319383,0.502768061,-0.502768061,0.000269497,0,0.000269497,-0.000269497
ABCC2,NA,NA,NA,NA,NA,NA,0,0,0,0
ABCC3,2.502222055,-2.502222055,0.012391723,0.012391723,1.122380759,-1.122380759,0.016518161,0.010025797,0.006492364,-0.006492364
ABCC4,1.12782258,-1.12782258,0.259489209,0.259489209,0.322460473,-0.322460473,0.009185807,0.006835771,0.002350036,-0.002350036
ABCC5,-0.786018227,0.786018227,0.431936394,0.431936394,-0.08572319,0.08572319,0.017652076,0.020318173,-0.002666097,0.002666097
ABCC6,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000134749,0,0.000134749,-0.000134749
ABCD1,4.401097329,-4.401097329,1.11E-05,1.11E-05,2.120754541,-2.120754541,0.029230331,0.014849556,0.014380775,-0.014380775
ABCD2,1.414351072,-1.414351072,0.157319383,0.157319383,0.502768061,-0.502768061,0.000269497,0,0.000269497,-0.000269497
ABCD3,1.276205653,-1.276205653,0.201992536,0.201992536,0.417262618,-0.417262618,0.023817487,0.019406737,0.00441075,-0.00441075
ABCD4,2.422458397,-2.422458397,0.015476949,0.015476949,1.078832428,-1.078832428,0.033003294,0.02369734,0.009305954,-0.009305954
ABCE1,-1.957538328,1.957538328,0.050404787,0.050404787,-0.820470713,0.820470713,0.045018823,0.055829918,-0.010811095,0.010811095
ABCF1,0.222093884,-0.222093884,0.824259165,0.824259165,0.465859591,-0.465859591,0.088037085,0.086449376,0.001587709,-0.001587709
ABCF2-1,-0.839681851,0.839681851,0.401173685,0.401173685,-0.125155164,0.125155164,0.010106151,0.012304388,-0.002198237,0.002198237
ABCF3,2.058728718,-2.058728718,0.039614092,0.039614092,0.877590992,-0.877590992,0.039550053,0.030610548,0.008939505,-0.008939505
ABCG1,1.247533049,-1.247533049,0.212304479,0.212304479,0.399225379,-0.399225379,0.009971402,0.007291489,0.002679913,-0.002679913
ABHD1,NA,NA,NA,NA,NA,NA,0,0,0,0
ABHD10,1.590648191,-1.590648191,0.11180268,0.11180268,0.608498496,-0.608498496,0.024064087,0.018684441,0.005379646,-0.005379646
ABHD11,2.992316284,-2.992316284,0.002790217,0.002790217,1.385733443,-1.385733443,0.02389631,0.014582978,0.009313332,-0.009313332
ABHD12,0.884126897,-0.884126897,0.376711985,0.376711985,0.157063903,-0.157063903,0.047286653,0.042803234,0.004483419,-0.004483419
ABHD13,3.346087921,-3.346087921,0.000830074,0.000830074,1.572563445,-1.572563445,0.048128174,0.032889139,0.015239035,-0.015239035
ABHD14A,NA,NA,NA,NA,NA,NA,0,0,0,0
ABHD14A-ACY1,NA,NA,NA,NA,NA,NA,0,0,0,0
ABHD14B,2.969179653,-2.969179653,0.003012915,0.003012915,1.373186261,-1.373186261,0.148535221,0.122769764,0.025765458,-0.025765458
ABHD15,1.68387468,-1.68387468,0.092314087,0.092314087,0.663319432,-0.663319432,0.01700123,0.012304388,0.004696842,-0.004696842
ABHD16A,2.399839572,-2.399839572,0.016465612,0.016465612,1.066460402,-1.066460402,0.033834683,0.024419636,0.009415047,-0.009415047
ABHD17A,4.40482123,-4.40482123,1.10E-05,1.10E-05,2.121989028,-2.121989028,0.100782502,0.070791918,0.029990584,-0.029990584
ABHD17B,0.673844489,-0.673844489,0.50046909,0.50046909,0.000587918,-0.000587918,0.012666375,0.010937234,0.001729142,-0.001729142
ABHD17C,NA,NA,NA,NA,NA,NA,0,0,0,0
ABHD18,0.030855555,-0.030855555,0.975387183,0.975387183,0.983316073,-0.983316073,0.03138631,0.031255407,0.000130903,-0.000130903
ABHD2,2.559725718,-2.559725718,0.01052949,0.01052949,1.153462685,-1.153462685,0.069276657,0.054050219,0.015226438,-0.015226438
ABHD3,1.805365611,-1.805365611,0.071127871,0.071127871,0.733721211,-0.733721211,0.044322182,0.036001727,0.008320455,-0.008320455
ABHD4,0.725874228,-0.725874228,0.467979525,0.467979525,0.040174901,-0.040174901,0.011318889,0.009570079,0.001748809,-0.001748809
ABHD5,2.249561696,-2.249561696,0.02455447,0.02455447,0.983822315,-0.983822315,0.052475794,0.041281204,0.01119459,-0.01119459
ABHD6,-1.159676137,1.159676137,0.246304291,0.246304291,-0.343082884,0.343082884,0.008893413,0.01184867,-0.002955257,0.002955257
ABHD8,1.671188477,-1.671188477,0.094795468,0.094795468,0.655895095,-0.655895095,0.017865648,0.013026684,0.004838964,-0.004838964
ABI1,4.495317651,-4.495317651,7.23E-06,7.23E-06,2.168369128,-2.168369128,0.116629774,0.083491663,0.033138111,-0.033138111
ABI2,-0.854192071,0.854192071,0.393084611,0.393084611,-0.135644204,0.135644204,0.02424463,0.027609662,-0.003365032,0.003365032
ABI3,7.704411357,-7.704411357,1.73E-14,1.73E-14,3.790038023,-3.790038023,0.13132616,0.074411566,0.056914594,-0.056914594
ABL1,0.384006502,-0.384006502,0.70100539,0.70100539,0.263647159,-0.263647159,0.013340119,0.012304388,0.001035731,-0.001035731
ABL2,2.577951881,-2.577951881,0.00998515,0.00998515,1.163452707,-1.163452707,0.020212301,0.012760106,0.007452195,-0.007452195
ABLIM1,1.919661988,-1.919661988,0.055007849,0.055007849,0.799061294,-0.799061294,0.081872113,0.068977955,0.012894158,-0.012894158
ABLIM2,NA,NA,NA,NA,NA,NA,0,0,0,0
ABLIM3,-1,1,0.317469673,0.317469673,-0.237393117,0.237393117,0,0.000455718,-0.000455718,0.000455718
