,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
ACTA2,32.978586706,35.9954596860001,17.400428244,50.10783199,24.6027241630001,26.847965728,10.083995454,31.182012836
ACTN4,334.889929744,512.378723401,139.789227171,681.653191487,312.661702135,229.093676808,127.351063826,271.168618254
ACVRL1,34.178438656,39.591836766,17.986988832,55.3641246489999,26.752953841,29.217472118,11.068743294,32.71189592
ADAM15,37.570270276,42.6666666580002,17.194594595,50.2920109989999,27.3677685859999,26.335135144,11.4903581109999,43.932432437
ADAM8,223.540425516,295.932307695,79.4978723459999,324.796923082,160.738461534,116.553191492,67.4461538169999,165.136170211
AGER,43.3214286730001,41.0864197480001,25.2837301720001,57.1985596740001,28.046296299,34.5376984610002,11.654320992,46.2678572270001
AGRN,39.5484581279999,43.136190473,23.656387654,60.3933333399999,28.1723809749999,28.107929525,11.185714313,40.218061663
ALDH1A1,42.1258993000001,37.8981380890001,20.323741025,51.810514886,25.256297981,29.273381304,10.123767833,45.4892086490001
ANXA4,121.228155349,364.563535909,43.359223299,279.651933715,165.723756899,74.514563103,84.0331491830003,123.737864082
ANXA5,924.958333335,973.672131158,215.694444439,810.295081977,501.713114757,399.805555549,247.721311485,1159.472222217
ARHGAP1,37.875000048,39.5398602,20.604838738,52.7160839720001,26.3412587649999,31.4153226150001,10.700699303,35.760080684
ARHGAP25,327.88235295,362.863861395,127.619195046,512.138613881,217.017326736,210.133126945,306.788366335,280.99071207
ATP6AP2,599.191489366,815.530769217,138.989361707,678.630769225,397.176923072,222.542553174,214.307692286,807.872340401999
AZU1,35.5695537840001,46.2640000000001,18.044619409,57.069,32.0819999999999,27.034120712,13.111,33.837270311
BAG3,33.854875278,42.702014858,17.947845805,61.8388122820002,29.3913043530001,27.648526073,12.476139972,30.816326532
BID,797.93103431,1115.46511625,203.86206885,750.825581069999,437.58139522,296.70689654,275.51162774,1176.15517239
BIRC2,63.9743040671,104.522961575,32.2141327606,156.5004686032,66.7310215555,44.6916488215,29.6663542639,63.0877944323
BLMH,38.4468936490003,93.084388184,20.5511021489999,141.751054847,71.4978902959999,32.7114227789999,25.075949383,36.3146290920002
CCL2,30.5981087468,42.1439764911997,16.5130023628,59.6444662075002,27.6591576868,24.6146572117,11.5357492645,28.7139479901
CCL20,32.026804071,41.9628450690001,17.610309248,56.873673096,27.897027648,26.915463869,11.595541429,30.816494803
CCL23,33.0543071141998,40.0714285710001,17.2078651674,55.9248120289,26.7922932321,26.4007490635999,11.5742481207,32.3408239698998
CCL4,140.315789479,123.116333738,60.291021671,154.017626317,68.871915407,106.417956666,29.2091656950001,97.427244583
CCL7,30.956862743,38.906720209,16.315686273,52.58776334,26.274824507,24.664705882,10.545636896,28.831372555
CD160,36.168539158,52.167792801,20.435954976,73.4594594589999,32.060810838,33.253932476,13.700450466,31.703370628
CD1C,41.6050955524,39.0440313086,22.5329087089,52.8003913874002,27.2084148702999,32.2441613654,10.4432485311001,45.4649681628
CD22,126.736470595,78.8426666620001,71.357647065,113.470666658,54.645333331,82.1835294230001,22.109333336,139.952941192
CD244,72.298804758,209.872563662,32.099601589,246.514242823,117.899550196,61.3446215109999,47.2563717980001,55.2270916419999
CD27,31.157647059,64.8987012999999,17.534117648,87.1766233920001,51.974025991,26.981176468,14.499999995,28.207058821
CD28,132.367952537,509.981617646,64.216617207,769.000000007999,249.999999987,98.6943620159999,136.617647077,140.234421358
CD2AP,55.337777781,74.2847744350001,24.239999998,108.925751895,52.0930451189999,40.548888899,20.327067657,43.324444442
CD4,317.028169008,307.967088619,136.732394365,520.868354417999,178.027848114,211.962441303,84.5645569689998,399.657276986
CD48,168.63347454,503.22852525,79.40466097,729.93354945,289.58833063,133.17372881,430.97406795,152.0021187
CD5,405.51204817,755.305135999999,156.89156635,1118.22054387,398.39577035,227.50602417,197.84592128,514.31325295
CD58,40.358649798,40.964752027,22.010548511,56.278067961,27.531331596,32.43670886,11.417754548,37.177215184
CD59,27.859574435,139.927953882,15.942553182,157.420749312,105.727665695,24.9978723289999,30.80403459,26.402127631
CD6,481.48404252,590.72851563,176.35106384,850.349609519999,313.923828,286.01595737,152.76367199,514.691489460001
CD63,1502.47222229,1940.11627942,350.49999997,1369.53488432,826.4651165,566.72222217,512.186046520001,2000.69444447
CD70,31.545842219,43.65204083,17.332622607,62.010204096,29.234693873,26.692963766,12.291836732,29.496801694
CD79B,57.6328767719998,234.170103092,39.695890436,304.682130565,147.183848771,44.0136986719999,60.3608247099999,75.761643892
CD83,258.70750986,44.5775335960001,99.68379446,61.075702102,30.234432252,119.063241103,11.539682541,389.881422921
