,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
5S-rRNA,3,1,0,7,1,0,0,1
7SK,119,157,85,154,76,49,37,98
A1BG,7,13,4,8,4,8,2,9
A1BG-AS1,3,2,0,4,1,1,0,3
A1CF,4,10,6,9,2,2,5,4
A2M,132,97,23,61,21,59,14,21
A2M-AS1,26,17,4,17,4,12,4,4
A2ML1,5,8,2,12,7,5,7,17
A4GALT,2,0,2,3,2,0,4,3
A4GNT,1,0,2,1,3,0,1,2
AAAS,45,179,39,266,141,74,34,66
AACS,75,146,36,133,124,96,57,98
AADAC,2,1,1,4,0,1,0,2
AADACL2,1,3,0,3,0,0,1,2
AADACL3,5,1,0,4,2,2,0,3
AADACL4,1,0,1,1,2,1,0,0
AADAT,0,1,1,3,3,0,0,2
AAED1,218,307,72,295,117,111,79,223
AAGAB,210,433,95,496,272,222,136,183
AAK1,313,417,202,748,214,290,181,227
AAMDC,28,55,12,53,23,35,24,39
AAMP,275,570,115,672,337,218,157,372
AANAT,4,3,2,6,5,0,2,3
AAR2,206,285,85,361,215,165,109,170
AARD,2,6,1,7,2,2,0,8
AARS,286,1006,204,1330,1196,536,174,174
AARS2,100,189,68,292,203,101,74,59
AARSD1,14,30,11,44,16,19,12,8
AASDH,81,233,58,384,128,111,75,67
AASDHPPT,179,500,74,537,300,198,121,118
AASS,16,17,26,67,14,20,6,20
AATF,739,1179,366,1674,834,600,436,592
AATK,16,38,4,18,6,5,11,16
ABAT,110,285,32,188,82,79,80,132
ABCA1,154,348,111,220,226,57,154,87
ABCA10,16,12,4,29,8,21,9,3
ABCA12,7,9,1,10,3,1,8,10
ABCA13,13,126,5,43,42,9,106,26
ABCA2,141,189,91,184,78,100,35,55
ABCA3,40,61,24,83,34,30,18,20
ABCA4,4,4,1,4,5,6,2,10
ABCA5,121,166,104,262,80,190,68,57
ABCA6,16,12,9,34,6,10,8,24
ABCA7,324,726,167,723,320,227,168,289
ABCA8,17,14,4,41,10,11,12,17
ABCA9,3,10,2,14,10,1,2,6
ABCB1,126,192,79,356,74,92,34,58
ABCB10,144,291,71,360,189,145,139,147
ABCB11,3,0,0,6,0,3,0,5
ABCB4,10,42,27,48,6,7,8,22
ABCB5,8,9,5,12,0,5,6,17
ABCB6,3,3,1,8,13,8,2,4
ABCB7,157,339,92,405,226,142,108,183
ABCB8,51,108,56,170,119,69,38,57
ABCB9,33,105,24,61,98,19,10,19
ABCC1,228,412,109,516,347,209,150,238
ABCC10,145,188,73,279,164,101,69,96
ABCC11,5,2,2,3,4,3,4,5
ABCC12,2,1,1,3,7,2,2,3
ABCC2,16,48,17,60,22,17,16,16
ABCC3,61,105,13,83,68,43,5,109
ABCC4,82,188,54,264,140,80,82,85
ABCC5,159,351,120,491,218,166,92,162
ABCC6,21,57,10,32,14,10,6,30
ABCC8,3,3,3,2,5,2,2,4
ABCC9,9,7,0,6,1,7,5,15
ABCD1,77,117,16,79,48,33,40,85
ABCD2,68,218,81,500,134,68,66,36
ABCD3,140,322,113,484,262,191,121,157
ABCD4,183,316,107,436,191,164,87,150
ABCE1,266,741,214,1158,700,420,236,242
ABCF1,875,1637,480,2901,1307,822,502,659
ABCF2,316,780,181,955,562,438,244,326
ABCF3,138,261,65,259,189,118,75,107
ABCG1,26,89,34,128,27,48,37,33
ABCG2,4,5,3,43,20,3,27,6
ABCG4,2,1,1,7,6,4,3,6
ABCG5,6,3,4,9,2,1,7,16
ABCG8,1,1,1,0,2,0,0,1
ABHD1,1,6,5,9,6,2,2,7
ABHD10,110,270,63,320,216,102,81,90
ABHD11,74,107,33,103,62,38,27,88
ABHD12,121,267,53,290,199,97,71,143
ABHD12B,6,5,1,5,2,6,6,7
ABHD13,322,589,124,655,285,214,184,322
ABHD14A,73,137,60,241,117,73,43,33
ABHD14B,180,354,102,646,205,196,105,205
ABHD15,126,241,45,283,109,101,39,93
ABHD16A,13,28,6,20,15,15,8,10
ABHD16B,9,22,1,20,2,13,6,12
ABHD17A,124,164,54,278,83,102,45,89
ABHD17B,84,220,42,249,111,114,49,58
ABHD17C,16,51,13,67,27,13,7,13
ABHD2,932,2041,565,2141,1006,895,761,1813
ABHD3,222,468,82,630,284,177,91,143
ABHD4,48,91,20,130,60,59,13,43
ABHD5,117,267,36,201,111,62,104,94
ABHD6,45,121,28,94,64,33,35,50
ABHD8,21,41,9,38,30,16,16,33
ABI1,766,1538,407,1991,824,698,436,726
ABI2,194,349,148,745,192,345,86,144
ABI3,350,550,88,620,257,453,145,300
ABI3BP,13,9,9,28,4,3,3,7
ABL1,261,434,134,424,316,261,135,263
ABL2,313,397,176,708,225,302,146,252
ABLIM1,386,979,886,4605,672,1097,573,322
ABLIM2,10,14,7,13,10,7,2,3
ABLIM3,25,22,4,50,44,47,1,37
ABR,627,1027,180,815,493,439,334,659
ABRA,2,7,2,5,5,1,2,1
ABRACL,394,1076,186,1099,535,496,306,479
ABT1,234,439,91,454,268,146,107,174
ABTB1,218,505,101,417,120,108,174,319
ABTB2,64,40,8,22,41,29,18,12
AC000003.2,6,4,0,2,2,1,0,5
AC000036.4,4,1,3,1,3,1,1,3
AC000068.5,10,6,4,24,9,5,2,7
AC000099.1,0,2,1,2,0,0,0,1
AC000120.7,3,7,1,8,5,2,5,4
AC000123.4,2,6,4,7,3,4,1,3
AC002044.4,121,202,58,212,62,82,58,122
AC002059.10,0,3,1,9,1,1,1,0
AC002076.10,0,3,1,3,3,0,3,2
AC002115.9,2,0,2,2,0,2,2,0
AC002116.7,0,4,1,9,2,2,0,0
AC002117.1,2,0,1,2,0,2,0,1
AC002128.5,2,0,2,4,3,0,0,1
AC002306.1,2,7,0,6,3,0,0,4
AC002310.12,46,110,29,138,39,51,23,42
AC002310.7,7,10,3,8,4,1,1,7
AC002398.11,7,15,7,25,12,6,4,15
AC002429.5,3,5,0,4,3,1,2,7
AC002451.1,2,3,1,1,4,0,1,3
AC002451.3,9,12,2,4,9,0,1,5
AC002454.1,0,1,0,4,5,0,0,0
AC002456.2,4,3,2,2,1,1,0,0
AC002467.7,9,24,1,37,11,8,4,13
AC002472.11,1,0,1,2,1,0,0,0
AC002472.13,11,19,2,19,9,5,7,7
AC002480.2,2,5,2,5,3,0,1,2
AC002480.3,0,0,0,1,4,2,0,1
AC002480.4,2,2,0,1,1,1,2,3
AC002511.1,11,6,5,8,8,3,6,13
AC002511.2,1,1,1,1,1,2,0,3
AC002511.3,0,0,0,3,3,0,1,6
AC002519.8,7,4,5,7,4,1,1,6
AC002550.5,0,2,2,2,2,1,1,4
AC002551.1,4,2,1,5,3,1,0,5
AC003003.5,6,2,1,4,1,2,6,9
AC003051.1,5,1,1,12,0,5,8,11
AC003075.4,2,4,1,8,2,6,5,2
AC003090.1,1,7,0,1,0,2,1,5
AC003092.1,0,1,0,4,0,0,0,8
AC003102.3,10,13,2,13,10,4,4,22
AC003104.1,5,9,3,22,2,4,4,4
AC003665.1,18,15,7,30,11,10,3,13
AC003958.2,1,4,3,3,0,3,0,1
AC003973.4,1,4,0,2,1,1,0,1
AC003984.1,2,2,1,0,1,0,0,0
AC003986.5,1,0,0,1,1,2,1,2
AC003986.6,0,0,1,2,0,2,1,1
AC003986.7,0,3,0,1,1,1,1,4
AC003991.3,4,6,0,6,2,3,2,1
AC004012.1,1,0,0,2,1,2,0,1
AC004017.1,1,1,0,2,0,0,2,0
AC004019.13,5,6,2,3,1,1,2,4
AC004041.2,3,4,0,4,1,0,0,1
AC004051.2,1,0,0,3,1,1,1,2
AC004053.1,2,3,1,4,1,0,2,7
AC004067.5,3,8,3,22,5,3,2,5
AC004069.2,8,19,6,10,6,4,3,9
AC004112.4,3,2,1,0,0,0,0,1
AC004125.3,4,3,0,2,2,0,0,1
AC004156.3,5,6,1,7,4,2,2,6
AC004158.2,2,5,1,4,4,0,1,2
AC004158.3,1,2,0,1,2,0,2,1
AC004221.2,2,1,1,0,0,1,0,1
AC004231.2,0,1,0,4,0,0,0,1
AC004237.1,1,2,1,6,0,0,0,1
AC004257.1,0,2,0,2,2,0,1,0
AC004257.3,14,40,4,52,11,8,7,18
AC004381.6,16,35,9,37,43,17,21,18
AC004410.3,2,0,1,5,0,0,0,1
AC004447.2,39,31,19,98,20,25,26,22
AC004448.2,0,3,0,1,0,0,1,1
AC004448.5,1,6,2,9,2,1,3,5
AC004463.6,3,3,3,7,3,6,2,0
AC004466.1,1,2,0,1,0,0,0,2
AC004471.10,3,2,0,4,0,3,2,1
AC004471.9,2,4,3,11,2,2,2,4
AC004490.1,0,1,0,2,3,2,1,2
AC004528.4,1,2,1,4,0,1,0,3
AC004538.3,4,3,1,3,1,0,2,1
AC004540.4,1,1,0,0,1,1,2,0
AC004540.5,5,8,1,12,5,2,3,9
AC004593.3,1,3,3,1,1,0,4,3
AC004603.4,0,0,0,5,5,0,0,6
AC004691.5,2,2,0,2,2,1,0,0
AC004692.4,0,1,1,0,1,0,1,0
AC004791.2,0,9,0,7,2,0,1,0
AC004837.5,0,6,0,3,3,5,2,1
AC004840.9,24,35,16,35,26,40,6,7
AC004854.4,3,2,1,4,0,2,0,2
AC004862.6,0,2,0,0,0,1,1,2
AC004878.2,4,5,2,1,2,1,2,5
AC004878.8,0,2,2,1,0,0,1,1
AC004893.11,70,117,36,174,43,51,28,64
AC004895.4,2,0,1,1,1,1,0,0
AC004899.1,1,5,1,5,0,7,1,1
AC004906.3,3,2,1,3,1,2,1,1
AC004941.3,3,8,0,6,5,0,0,4
AC004951.6,5,12,10,19,8,6,6,4
AC004988.1,4,2,0,5,3,1,1,4
AC005003.1,7,19,13,24,10,9,5,14
AC005009.2,1,1,1,5,0,0,2,2
AC005022.1,0,4,1,2,0,2,0,4
AC005029.1,3,2,1,1,2,0,2,2
